Char	Docfreq
咽	17
追	87
蛙	19
倜	1
轴	6
腊	8
臼	2
馅	1
管	65
常	136
沭	1
克	5
哐	1
考	11
颅	3
陽	3
境	125
既	40
逆	14
梳	8
萄	6
屹	4
数	120
膝	11
降	32
杌	1
辍	1
搭	14
酵	2
知	358
妇	8
柚	1
储	4
答	23
酽	2
住	172
柱	8
黯	23
幕	70
膛	8
卡	4
州	22
栩	4
钻	26
戾	1
跨	16
猎	7
贤	7
浆	16
韭	3
城	162
繁	138
帚	2
斯	19
登	19
缤	25
吠	2
到	692
脆	31
淌	69
失	148
泽	35
匍	2
共	59
薇	15
焚	7
钓	6
厘	2
淡	283
流	493
丛	53
呦	1
柿	5
姽	1
踟	1
糙	4
瑙	2
哈	5
吗	69
步	202
门	148
损	10
袍	8
纵	68
垄	4
讨	10
膏	2
戒	3
砍	6
葫	1
宣	15
砒	1
时	851
听	238
熳	1
聆	39
嘹	3
拽	3
嘴	64
叼	2
尚	28
牙	17
甫	3
匹	11
嫁	10
像	344
钢	7
兮	11
趁	15
袖	30
垮	2
穷	36
绒	4
黛	17
绦	2
树	300
亥	1
挺	34
攻	4
粥	4
淑	7
肴	4
核	4
萍	11
操	11
泛	67
选	28
麓	4
枕	20
憩	12
顿	40
脉	44
赋	16
磊	1
疯	18
祖	18
跋	18
夙	6
漉	14
饲	1
觥	4
醉	157
术	18
揩	1
魅	9
崇	14
战	39
暗	128
圃	3
伴	158
戊	1
麻	29
妹	8
饮	43
滔	7
撼	12
还	453
客	68
箔	1
估	1
染	114
寰	1
渴	35
啕	1
绩	3
贴	31
观	102
纹	27
鉴	3
盲	4
渎	1
薯	1
凹	4
迤	9
琥	4
沐	36
褪	22
劲	17
萧	42
类	30
嘉	2
庐	6
陲	1
权	16
饥	8
刮	11
抛	29
严	27
危	13
飨	1
瞩	1
砯	1
拗	2
蜂	20
悬	32
亿	2
病	17
斋	1
竿	4
趄	1
星	124
腕	5
胀	4
福	116
汰	2
吜	1
楚	36
混	17
死	73
怖	1
沫	14
攘	12
唇	26
踝	1
匀	2
亟	1
援	4
意	430
毛	46
布	65
彩	157
谷	55
雁	32
痛	93
睡	70
蛛	4
戏	56
抡	2
服	33
葭	6
溃	5
腋	1
体	128
害	23
旧	126
栽	14
厉	4
兵	9
儒	4
窈	5
灿	51
肺	17
辜	10
准	26
腆	2
塞	13
窘	1
肩	52
偎	17
赴	18
琢	8
阕	10
凶	7
挫	9
蛆	1
萱	1
皓	9
蓦	18
哄	6
痊	1
飕	1
廷	4
趣	44
话	122
瓷	7
掺	2
蜓	7
晶	58
嗡	2
逛	6
邮	3
集	39
卯	2
希	75
劳	32
连	153
邃	12
桶	2
湫	2
厌	14
迹	101
刀	30
碾	4
逢	67
永	159
予	33
杆	19
晒	24
霄	5
桐	27
岱	1
蔫	2
酕	1
波	136
鸾	2
喊	28
端	53
状	30
嚣	42
雍	7
硫	1
衅	1
辰	19
匆	67
静	426
慧	13
涮	2
漠	36
楹	2
厅	12
白	409
笆	5
木	126
览	17
杖	3
村	111
锃	2
扪	1
讥	1
郭	1
颦	5
眼	423
怅	42
脚	159
冯	2
涌	53
剂	7
欠	5
瑚	4
寿	4
菁	1
侄	1
遽	2
轧	1
焰	15
亮	180
萋	5
艇	1
循	18
提	44
吉	9
什	108
水	662
即	127
究	41
鼠	9
是	1328
借	31
汹	10
璞	2
蹲	9
鞭	10
悉	37
哉	9
咎	1
浪	156
音	167
嗖	3
褶	7
蝴	24
鼾	1
泓	7
缮	2
浸	47
警	4
空	377
蔓	28
斗	37
炽	12
眸	92
靰	2
栊	1
栗	3
樟	6
蝌	1
抿	1
鸽	2
草	226
峪	2
霆	3
羽	24
泪	179
征	23
庸	7
蟪	1
灼	13
荟	1
绮	7
黎	10
迁	21
唾	4
敦	3
践	6
澳	3
涯	63
就	668
撒	28
潮	50
舵	2
始	141
值	38
定	198
钱	16
穗	7
决	25
穴	4
鹂	3
雀	14
啡	4
斑	64
坤	4
喀	2
溢	68
骨	77
辘	1
鹃	15
酣	17
卫	4
倒	81
杏	30
挂	89
奔	78
臞	1
坷	6
藏	97
所	268
镶	11
挥	62
幢	1
甘	60
襁	3
蔷	9
令	74
传	97
萨	3
婪	5
刳	1
成	475
林	117
下	745
佑	4
眄	1
驰	18
霉	2
例	2
奏	36
靴	2
牡	14
盈	86
膀	25
羲	1
忘	144
捣	3
统	9
笨	6
龙	57
守	127
腌	1
差	22
炱	1
偕	10
陶	28
寸	23
揽	14
耀	42
圈	25
踽	1
稗	2
晰	29
逶	4
裁	6
尝	38
谒	2
嗒	9
傅	4
馋	3
奖	2
归	112
铛	1
稚	7
鼓	31
出	504
院	79
俱	17
径	46
错	83
叮	19
嶂	3
闭	35
湖	102
泡	35
腴	4
哑	3
拣	2
沮	5
厕	1
诏	2
辩	2
悯	3
憬	14
憨	5
瓣	53
冤	3
方	291
削	9
习	31
条	145
盯	7
苹	6
孱	2
顽	7
载	44
掷	2
秀	67
冽	20
庄	69
筷	3
愚	7
尼	3
扛	4
匝	5
二	76
世	433
矢	1
职	4
粉	64
梯	8
迈	18
璨	19
阙	9
卓	10
课	11
驾	14
骛	4
绯	3
高	281
区	33
捕	6
拢	10
跷	1
烛	21
茧	9
贸	1
咋	1
葵	6
萦	30
之	487
首	158
各	73
舅	2
咙	4
嗯	3
楠	1
光	677
踅	1
相	447
哲	17
靓	9
垅	1
辉	37
噼	3
领	23
骚	7
拉	56
蛐	1
翔	21
拾	37
癖	1
啁	5
蹑	3
垦	1
爪	6
不	1290
赣	1
个	737
电	35
蹄	5
侵	21
熙	11
睛	56
玲	17
塄	1
偏	22
怯	6
躇	10
匐	2
往	264
某	40
燥	17
新	166
铿	3
剔	18
君	36
映	86
呱	5
序	17
蛊	2
屑	7
烂	97
阒	1
融	76
倦	25
科	2
茹	2
小	458
纶	4
孑	3
承	47
冈	9
荠	1
汴	1
抓	18
咸	10
毁	13
嫩	43
颁	1
畅	39
恼	22
覆	21
炉	16
蚁	6
肠	37
识	42
黏	1
贫	16
异	44
妙	73
谋	10
娉	8
腔	23
屎	1
师	20
垠	4
楞	1
纯	88
磁	4
捺	3
窦	2
哨	3
谶	1
授	2
夷	3
神	208
迸	3
宕	8
贬	2
吴	7
炎	17
恬	32
扮	18
花	746
若	189
徘	24
架	24
瑶	6
耕	10
殍	1
式	23
挎	1
柒	2
浴	32
燃	43
跎	15
忧	110
油	60
瘦	39
滤	3
筱	1
嘈	3
担	23
啸	27
谅	2
颂	7
撅	3
稿	2
莘	1
痼	1
婷	13
秉	5
怒	38
牧	12
狠	7
检	2
曹	3
壤	8
惜	85
碴	1
卉	2
疚	1
撮	3
计	14
臣	6
谐	17
宫	25
咫	11
抉	3
宵	8
圾	3
撞	42
对	298
涎	4
属	70
缝	35
莱	5
梨	36
子	598
啥	2
窖	2
棉	18
蔽	7
贾	2
乎	124
舟	41
盗	7
励	6
易	56
辣	13
割	27
参	21
艰	27
迪	2
悦	43
荤	2
瘾	2
中	859
爹	1
蛹	1
费	14
系	28
侠	3
直	203
赏	81
通	72
愤	5
漂	51
浓	99
球	16
篱	12
根	78
恪	2
嶙	6
铃	17
文	131
葬	11
舫	4
冲	57
肖	3
莓	1
慵	7
学	84
歌	186
嘿	2
旷	29
涕	2
血	60
榴	4
她	192
寨	7
姗	3
酌	10
凄	50
魄	21
道	399
鹿	1
纬	2
臂	27
奸	1
太	162
碑	5
倏	6
诽	1
勒	20
瞰	4
口	175
嬉	24
奈	54
御	3
湃	11
途	50
唧	2
蛾	5
暑	10
枫	16
犷	8
铡	1
烧	41
几	267
甚	50
累	41
晕	22
完	89
媛	1
激	70
耿	3
陇	1
幼	12
鸢	4
醋	3
淅	19
预	14
牦	1
浦	1
聒	2
甩	7
绛	2
桥	89
芒	25
餐	13
辗	15
忻	1
胭	3
饱	26
松	61
韧	8
锈	2
虱	1
煎	10
丽	252
苏	42
逸	44
濡	9
簪	3
倩	3
快	149
鼻	22
腐	12
教	28
司	6
莽	8
仅	31
刃	2
尊	14
腚	1
未	143
飞	268
魍	2
婳	1
蠢	6
食	38
惭	2
泼	27
拷	1
枯	64
留	236
蜿	22
箱	6
震	21
掘	3
掏	8
爽	37
骂	3
蛮	7
姑	29
袂	9
并	128
昌	2
仗	4
男	39
跤	1
金	121
泄	9
绿	271
岔	3
阿	7
扬	104
视	92
蹇	1
材	10
糊	29
睇	2
岖	5
圄	1
蹉	15
真	275
焉	4
鲁	4
狮	3
茕	2
唠	3
谴	1
田	104
甬	1
残	91
此	373
辈	21
官	9
吊	10
甜	93
怀	206
穹	16
芹	2
缸	1
避	21
剑	16
挨	11
铁	17
炫	9
啬	3
巳	1
蕴	21
育	28
柔	235
赤	21
缱	27
眺	23
俐	1
兹	1
互	26
级	8
番	30
愕	5
篝	1
杉	1
咏	10
歇	34
棒	5
陵	3
泳	4
九	36
杠	1
帝	18
岭	22
拍	21
徽	4
钧	1
笺	24
闺	4
缭	15
阐	2
愈	25
躯	20
梭	18
土	120
匙	4
盎	13
赚	5
虑	12
锦	45
扰	46
困	17
头	384
舔	3
聪	6
亍	2
溯	4
恨	42
蜉	1
嗷	1
丧	11
冷	166
帘	56
掀	8
嵩	3
偌	4
日	353
戮	2
驮	2
脂	4
拦	5
风	769
巉	4
孔	25
台	80
徙	1
茉	6
汛	1
岛	20
皮	50
栓	1
亏	5
碗	12
务	2
毳	1
经	408
该	79
踏	75
延	49
缕	95
熏	10
你	588
癌	2
误	10
骋	5
疫	4
斜	37
想	489
债	1
化	164
万	248
坊	5
莹	50
抒	22
竖	8
弊	1
萌	12
妨	10
满	401
您	8
确	16
踵	4
泠	4
亚	4
拘	9
栖	13
畦	3
枉	5
古	166
市	95
翩	48
乱	75
人	1086
橛	1
啊	82
忽	62
盼	49
竞	9
沧	82
技	5
盹	2
偿	5
沙	81
招	35
敌	14
膜	2
筵	2
猜	12
跟	53
套	10
款	17
里	953
现	240
跌	32
菊	36
裤	16
骸	1
们	566
寐	7
役	1
叹	77
弓	6
取	53
憧	14
送	51
群	79
洽	1
履	10
兴	46
蹂	1
槐	15
唐	49
润	101
功	23
判	2
位	62
帕	2
贪	14
笙	6
诎	1
欢	251
三	179
滚	51
灶	8
畜	3
婉	67
噗	2
描	39
烬	4
次	170
洛	4
腾	60
亵	2
苒	7
芭	9
锐	8
氆	1
馗	1
朔	7
狼	8
烘	3
际	58
牵	112
垫	4
馒	1
贵	53
迅	9
奴	7
楼	111
熠	6
骤	5
蟹	6
亦	102
暇	17
析	1
度	107
岸	128
部	56
跃	29
骡	1
洪	11
辽	10
巫	2
家	249
鹤	8
格	84
宅	7
零	74
露	129
呯	1
魑	1
忑	2
醲	1
可	458
栋	6
质	46
农	38
嚼	17
蚕	6
棱	5
酝	8
缅	3
蹦	16
柄	3
兀	14
秒	13
尧	1
恳	2
森	11
浚	1
笃	2
罅	4
轰	10
蹰	1
驱	18
构	15
身	383
彷	7
媚	99
喻	9
亢	5
稳	26
擞	3
溷	1
拯	1
纪	13
爱	376
祝	21
侣	9
旋	48
瘤	1
歘	3
娥	7
矣	12
媒	2
胜	50
彻	28
秆	5
倘	14
复	79
箭	10
婀	13
攀	22
立	157
旌	2
稻	9
珍	76
囫	2
敖	1
蒜	3
疗	2
浙	3
那	917
鱼	64
崔	3
箍	2
颊	13
投	24
歼	1
玻	16
酉	1
饰	31
腑	7
驹	4
诣	1
秾	1
假	33
傻	8
豆	21
斟	7
陌	71
霎	4
欧	2
多	490
却	419
赠	10
单	101
汇	29
寒	142
敝	2
刽	1
娓	6
去	582
杮	1
结	124
凡	54
锤	2
如	730
字	144
戚	7
侯	4
倨	1
溅	20
吧	75
敬	21
烙	9
补	9
珑	14
原	154
把	287
品	89
珊	28
私	27
斧	8
驯	8
洋	48
耧	1
叫	92
摄	3
醒	94
岑	1
殷	7
悱	4
回	424
嫣	37
荚	1
荆	10
念	260
喃	26
袱	1
芜	16
川	46
猛	26
横	46
塔	11
菩	11
消	105
十	147
涨	16
氲	20
废	13
梅	63
拜	9
瓤	1
遇	152
瑜	1
险	27
配	22
显	90
忱	3
卑	18
慎	3
裸	14
幻	98
周	61
峦	19
绽	80
咂	2
瘩	1
凤	14
铧	1
棵	53
尾	32
怕	82
镇	37
夔	7
虫	17
庭	51
只	589
唯	104
瀑	22
框	4
渗	12
屏	24
铭	23
蹬	1
酿	19
吱	14
我	1034
蕙	2
从	386
瑞	10
攸	1
游	121
仨	2
俳	1
偬	1
涵	13
晤	2
淹	15
象	123
崎	5
娑	22
仍	44
狝	1
何	203
芙	7
肯	20
五	95
隽	5
接	100
祭	10
藻	7
沸	11
栈	2
螃	4
蒙	42
碟	5
砖	9
拼	10
猫	8
淀	21
隐	93
牌	8
猝	8
闷	29
千	266
鸠	4
耗	6
襟	11
逐	64
迂	1
祟	1
综	3
瞠	1
蔼	1
械	3
淇	3
碎	78
摩	19
苔	15
扣	11
规	8
寤	1
欣	70
医	11
曼	35
薄	73
眠	47
腼	2
禁	44
湛	20
顷	13
爆	10
潇	24
溶	9
峭	13
稠	5
将	230
治	12
阔	47
声	373
蜒	22
鲜	67
喁	2
哭	53
唼	1
晦	6
耖	1
蜈	1
咛	3
汀	1
眷	53
夕	78
鸳	8
钵	1
盔	2
尖	69
忏	1
跳	69
梢	26
旦	16
沱	6
锵	3
睫	3
样	396
阱	1
刚	77
熔	3
匾	1
些	299
遗	72
闾	1
干	101
檬	1
整	114
颠	15
佯	1
弩	1
吻	28
狐	1
辅	1
喳	5
锄	4
谱	17
殡	1
倔	5
褥	2
夜	366
帏	1
氅	1
睬	1
渚	1
虽	103
约	95
隶	2
执	87
采	41
无	716
候	198
鹰	5
输	5
蒿	1
夸	8
毅	6
围	53
鳖	1
键	9
枣	10
莒	1
糖	5
括	5
披	33
膊	4
槿	3
义	47
凌	27
殒	2
积	33
斤	2
净	87
需	76
恙	6
诛	1
面	366
眯	8
索	21
吞	22
遛	2
铺	63
大	515
见	337
喷	7
虾	8
团	42
屈	27
豳	1
瞎	2
祛	2
乾	6
湄	1
茂	34
帖	6
介	9
葳	7
啄	2
裂	30
尴	4
伤	189
民	34
败	37
呻	4
菌	3
公	65
辇	2
坟	9
闻	50
天	865
僧	5
犹	75
椿	1
典	20
户	23
语	192
憋	1
寂	180
榻	3
谎	5
泞	7
酷	17
恣	12
唱	106
合	115
呷	1
堂	53
葩	2
鲤	7
症	2
渡	31
凉	169
仇	11
朵	189
另	46
作	172
羊	18
枇	1
嘘	5
榆	2
锚	1
屁	3
巴	44
纤	21
篷	8
肮	2
霓	18
懦	2
喵	1
吭	2
舷	3
愫	17
夫	27
獠	1
般	204
婴	6
掸	4
纭	1
佳	29
邈	1
吆	2
萏	1
茁	3
畏	20
着	1041
舞	166
限	37
蒋	3
匣	1
态	88
玛	2
勿	3
荧	2
摊	9
冻	12
榫	1
灰	58
望	353
蔗	1
躬	2
瓦	32
礴	6
示	29
敲	27
殇	21
忾	1
厚	80
亩	10
玷	1
荒	62
谁	163
圣	34
坳	3
虬	2
喂	4
佛	142
鳅	2
睁	10
谈	26
翳	1
秦	6
厦	7
契	15
择	28
变	200
舱	1
惺	3
本	127
钳	2
咯	4
带	211
串	33
锥	2
歹	2
六	51
催	18
沾	15
瓢	6
宽	57
蓄	12
钩	6
芬	64
边	302
张	98
旅	54
绘	25
丈	22
奉	17
姜	9
烽	3
巨	32
庑	2
研	7
籁	14
扎	44
免	22
申	3
嬗	1
瀚	9
盾	4
叉	5
潺	32
列	16
银	61
涂	18
顾	76
捉	20
收	94
退	20
辕	2
夹	28
撷	5
窥	4
班	14
勤	13
思	321
胞	4
段	99
塌	4
霍	4
盅	2
斥	3
开	590
粪	2
隅	13
孰	3
瞀	1
溺	4
螺	6
换	55
凇	2
压	41
搜	4
模	57
蓬	28
昆	11
嫦	4
艺	13
蓝	120
清	526
焦	19
涤	24
腰	36
献	15
翘	19
尬	4
熄	9
堑	3
柏	9
果	152
况	9
沿	50
哒	3
舛	2
萝	4
谓	28
苇	29
苗	22
祷	5
饯	2
后	400
烁	38
谚	1
调	47
秽	2
帽	6
蒹	7
联	21
翁	4
揳	1
域	15
划	49
岗	12
犒	1
局	30
畔	43
萤	4
政	11
韩	2
王	36
秋	239
痴	69
据	21
潭	18
涔	5
盏	46
甭	1
涅	3
笛	9
持	51
沥	20
厄	1
匿	10
鸩	1
帷	7
鸣	68
戈	7
东	124
诺	22
逗	5
恻	4
茶	81
蚶	1
动	365
溜	14
措	6
炸	7
倍	9
榜	1
芳	128
譬	3
站	129
慕	19
嵘	1
舍	75
宙	8
怔	4
恍	29
响	82
谧	34
长	396
兢	2
觅	32
挑	23
伪	8
闽	2
蘼	1
倥	1
粗	28
筋	8
四	204
遮	40
喧	57
剖	4
疏	30
曾	239
芊	4
惶	7
磨	31
而	686
濯	13
忒	1
僝	1
苑	7
姐	19
称	31
轿	1
截	4
悼	2
睑	2
束	58
生	768
待	161
筝	14
报	23
筒	2
伐	7
荷	58
芦	28
撩	18
衔	10
榛	1
图	42
裟	1
才	238
越	105
泯	3
纱	25
腮	7
芨	1
鸿	25
艾	3
痍	2
髻	1
奠	3
稼	10
谪	2
冢	1
娄	1
美	531
缀	31
堇	1
都	522
刻	215
陆	18
沁	33
僽	1
鲽	1
衷	11
碌	22
疼	38
扶	17
赐	11
犁	2
线	88
驶	11
鞋	10
好	428
狂	55
骆	1
浅	130
县	7
营	13
勉	3
羔	1
津	12
劫	7
叔	2
篆	1
缄	6
酒	103
秩	2
棋	7
卖	7
搁	16
棘	4
层	84
贼	2
耙	2
股	37
洱	3
标	21
珠	71
挡	27
娟	5
转	180
挪	7
辫	6
印	61
暂	40
器	12
钰	1
坝	9
题	18
踮	2
缩	24
写	153
沉	207
淳	10
饼	6
搐	1
脏	20
惹	23
感	375
形	85
岳	4
骈	1
刷	16
垩	1
蟆	1
犄	1
枝	149
嘀	4
委	17
亡	13
堤	24
没	387
离	288
伫	30
置	25
柳	95
谢	46
叠	37
矫	4
峻	14
保	41
踯	2
弗	4
沦	12
项	6
挟	1
签	8
惮	4
内	138
饿	4
渍	2
于	453
培	3
溉	2
惑	25
杈	5
粘	3
叭	5
改	37
老	232
肤	16
眨	9
迥	4
封	24
胎	3
雳	1
肉	28
仆	3
虎	11
弹	31
旁	74
莫	53
嗽	2
耐	12
摹	6
揉	6
纷	87
走	446
巍	16
绝	111
幅	59
查	3
冗	1
绡	1
缈	15
蚱	1
行	308
蕉	10
梧	19
煦	17
插	22
妄	7
绣	17
比	118
奇	77
七	72
皇	10
绚	43
牢	7
试	23
吮	5
暮	60
陨	3
眩	1
煮	23
烟	239
