	Word	Class0	Class1	Class2	MultiMean
219	拿大顶	1	1	1	1
220	氏	2	2	2	11
221	鞍辔	1	1	1	0
222	普拉霍瓦县	1	1	1	571
223	东不拉	1	1	1	12
224	外币	1	1	1	63
225	告竣	1	1	1	42
226	初战	1	1	1	2
227	女演员	1	1	1	2
228	齿唇音	1	1	1	1
229	信任投票	1	1	1	4
230	东乡	1	1	1	130
231	打圆场	1	1	1	14
232	八成	1	1	1	17
233	陆源	2	2	2	39
234	价格	1	1	1	4
235	新鲜度	1	1	1	91
236	村办	1	1	1	8
237	充其量	1	1	1	5
238	外来语	1	1	1	10
239	气臌	1	1	1	8
240	直角坐标	1	1	1	0
241	幡	1	1	1	8
242	近距离	1	1	1	2
243	元月	1	1	1	5
244	班房	1	1	1	19
245	仅次于	1	1	1	6
246	高压脊	1	1	1	0
247	黑狗	1	1	1	4
248	深灰	1	1	1	2
249	飘渺	1	1	1	38
250	茶褐色	1	1	1	4
251	整肃	2	2	2	17
252	手松	1	1	1	3
253	无菌	1	1	1	0
254	文化观	1	1	1	25
255	如愿	1	1	1	36
256	练功	1	1	1	2
257	天籁	1	1	1	0
258	二百五	1	1	1	12
259	紫金山	1	1	1	206
260	生产观	1	1	1	2
261	件	1	1	1	9
262	区际	1	1	1	8
263	目的	1	1	1	1
264	大寒	1	1	1	25
265	尉犁县	1	1	1	571
266	拈花惹草	1	1	1	9
267	敛财	1	1	1	10
268	羽化	1	1	1	4
269	螃蟹	1	1	1	2
270	超重	1	1	1	2
271	慢走	2	2	2	9
272	社教	1	1	1	2
273	相交	1	1	1	9
274	蜉蝣	1	1	1	50
275	飘浮	1	1	1	14
276	专利品	1	1	1	52
277	跳虫	1	1	1	3
278	磁路	1	1	1	12
279	秧子	1	1	1	10
280	大油	1	1	1	2
281	悬	3	3	3	63
282	故交	2	2	2	11
283	放活	1	1	1	15
284	中长途	1	1	1	5
285	土纸	1	1	1	64
286	阉人	1	1	1	4
287	萤火虫	1	1	1	1
288	鞍山市	1	1	1	499
289	肠伤寒	1	1	1	1
290	通统	1	1	1	16
291	乐天	1	1	1	16
292	金粟兰	1	1	1	1
293	根绝	1	1	1	14
294	岫	1	1	1	15
295	茧	1	1	1	2
296	考中	1	1	1	8
297	紧急灯	1	1	1	58
298	有助	1	1	1	1
299	原始林	1	1	1	10
300	过错	1	1	1	41
301	理发业	1	1	1	149
302	反常	1	1	1	22
303	坝子	1	2	2	29
304	度日	1	1	1	10
305	先发制人	1	1	1	9
306	苏剧	1	1	1	0
307	弹琴	1	1	1	0
308	行经	2	2	2	11
309	初等	1	1	1	8
310	本科	1	1	1	12
311	可口	1	1	1	13
312	琐细	1	1	1	11
313	写实	1	1	1	1
314	安谧	1	1	1	26
315	侗族	1	1	1	66
316	国别	1	1	1	4
317	查阅	1	1	1	6
318	普及率	1	1	1	187
319	寒来暑往	1	1	1	3
320	绣花枕头	2	2	2	3
321	刘	1	1	1	154
322	背风	1	1	1	0
323	认证	1	1	1	13
324	黑户	1	1	1	31
325	拉簧	1	1	1	2
326	村务	1	1	1	23
327	出巡	1	1	1	1
328	增生	1	1	1	1
329	被覆	1	1	1	17
330	侧泳	1	1	1	9
331	地铁口	1	1	1	33
332	回转	1	1	1	14
333	古兰经	1	1	1	9
334	伥鬼	1	1	1	0
335	统共	1	1	1	17
336	时久天长	1	1	1	43
337	门路	1	2	2	27
338	采矿	1	1	1	5
339	接洽	1	1	1	5
340	橱窗	1	1	1	11
341	神速	1	1	1	34
342	少待	1	1	1	1
343	径向	1	1	1	13
344	纵	4	5	5	70
345	擂台	1	1	1	42
346	腐败	2	3	3	34
347	种植区	1	1	1	171
348	出入境	1	1	1	0
349	搜索	1	1	1	23
350	客观主义	1	1	1	9
351	大蓟	1	1	1	1
352	工厂	1	1	1	2
353	原始积累	1	1	1	0
354	丈母	1	1	1	2
355	率先	1	1	1	3
356	长袖	1	1	1	1
357	稳当	1	1	1	16
358	蒿子	1	1	1	1
359	远征	1	1	1	5
360	五脏	1	1	1	3
361	主理	1	1	1	3
362	妇孺皆知	1	1	2	102
363	虽则	1	1	1	6
364	同居	1	1	1	7
365	掌舵人	1	1	1	3
366	布依族	1	1	1	66
367	南平市	1	1	1	499
368	苦主	1	1	1	0
369	禀告	1	1	1	2
370	薄冰	1	1	1	9
371	工资袋	1	1	1	19
372	平方	1	2	3	158
373	聪明一世	1	1	1	22
374	交道	1	1	1	8
375	种族歧视	1	1	1	1
376	居功不傲	1	1	1	9
377	羞惭	1	1	1	15
378	力克	1	1	1	28
