	Word	Class0	Class1	Class2	MultiMean
16223	晋冀鲁豫	1	1	1	1
16224	渗漏	1	1	1	3
16225	比邻	1	1	1	12
16226	厅局级	1	1	1	31
16227	油茶树	1	1	1	70
16228	楚国	1	1	1	299
16229	捷克	1	1	1	299
16230	读音	1	1	1	44
16231	与会国	1	1	1	25
16232	监测网	2	2	2	1
16233	传呼	1	1	1	1
16234	父辈	1	1	1	10
16235	前妻	1	1	1	7
16236	共同体	1	1	1	16
16237	加里波第	2	2	2	32
16238	重离子	1	1	1	19
16239	主楼	1	1	1	6
16240	军警民	1	1	1	23
16241	奥	1	1	1	1
16242	农科	1	1	1	12
16243	权利	1	1	1	1
16244	香气	1	1	1	31
16245	香味	1	1	1	31
16246	蜂群	1	1	1	6
16247	亲爱	1	1	1	47
16248	超薄	1	1	1	3
16249	衣帽	1	1	1	25
16250	煞气	1	1	1	2
16251	武穴市	1	1	1	499
16252	枸橘	1	1	1	4
16253	嘉年华会	1	1	1	118
16254	电子管	1	1	1	2
16255	说来话长	1	1	1	1
16256	嵌入	1	1	1	20
16257	钦差大臣	1	1	1	1
16258	出师	1	1	1	9
16259	首届	1	1	1	26
16260	克尽职守	1	1	1	14
16261	减掉	1	1	1	23
16262	荒丘	1	1	1	4
16263	迫	2	2	2	38
16264	招女婿	2	2	2	7
16265	牛蒡	1	1	1	45
16266	羊毛衫	1	1	1	20
16267	生物力能学	1	1	1	176
16268	决胜盘	1	1	1	2
16269	右倾	1	1	1	0
16270	蛟河市	1	1	1	499
16271	引水员	1	1	1	5
16272	一望无涯	1	2	2	66
16273	唐代	1	1	1	61
16274	猴戏	1	1	1	9
16275	无缘无故	2	2	2	23
16276	欣赏课	1	1	1	29
16277	巧克力	1	1	1	15
16278	主导	2	2	2	28
16279	碎块	1	1	1	8
16280	桃子	1	1	1	1
16281	母舰	1	1	1	0
16282	巩	1	1	1	154
16283	近似商	1	1	1	109
16284	异烟肼	1	1	1	17
16285	静候	1	1	1	0
16286	人体	1	1	1	16
16287	内弟	1	1	1	2
16288	始发	1	1	1	25
16289	屈驾	1	1	1	15
16290	磷灰石	1	1	1	36
16291	悖入悖出	1	1	1	4
16292	好强	1	1	1	8
16293	打量	1	1	1	14
16294	棋王战	1	1	1	35
16295	黑粉病	1	1	1	1
16296	张家口	1	1	1	279
16297	读物	1	1	1	0
16298	劳动生产率	1	1	1	187
16299	普鲁士	1	1	1	299
16300	鞭策	1	1	1	14
16301	东郊	1	1	1	10
16302	抓阄儿	1	1	1	2
16303	巍然屹立	1	1	1	0
16304	致意	1	1	1	6
16305	音区	1	1	1	171
16306	围	2	2	2	16
16307	露怯	1	1	1	0
16308	鹘	1	1	1	1
16309	生效	1	1	1	4
16310	络	2	2	2	9
16311	附着力	1	1	1	1
16312	愁闷	1	1	1	54
16313	少先队员	1	1	1	10
16314	感叹	1	1	1	8
16315	施训	1	1	1	4
16316	哨口	1	1	1	33
16317	漫游生物	1	1	1	6
16318	陇	1	1	1	120
16319	玄狐	1	1	1	1
16320	字形	1	1	1	38
16321	余震	1	1	1	1
16322	毛头	1	1	1	16
16323	美梦	1	1	1	13
16324	嘴稳	1	1	1	4
16325	锢	1	1	1	2
16326	蚌埠	1	1	1	279
16327	苏木	1	1	1	70
16328	心胆	1	1	1	8
16329	斜射	1	1	1	5
16330	望风披靡	1	1	1	15
16331	女厕	1	1	1	3
16332	鲜	1	2	3	56
16333	券	2	2	2	13
16334	黄歇口镇	1	1	1	172
16335	灵活机动	1	1	1	15
16336	束之高阁	1	1	1	10
16337	睡魔	1	1	1	5
16338	重建	1	1	1	6
16339	良药	1	1	1	33
16340	吉泊村	1	1	1	183
16341	精诚	1	1	1	43
16342	乖巧	1	1	1	37
16343	繇	2	2	2	20
16344	蒋介石	1	1	1	16
16345	退让	1	1	1	3
16346	扬威	1	1	1	22
16347	违反者	1	1	1	2
16348	消	2	3	4	113
16349	办厂	1	1	1	3
16350	酒钱	1	1	1	3
16351	久长	1	1	1	43
16352	委靡不振	0	0	0	0
16353	埕	1	1	1	1
16354	桂竹	1	1	1	6
16355	哄抬	1	1	1	0
16356	工农兵	1	1	1	23
16357	警界	1	1	1	39
16358	敌强我弱	1	1	1	0
16359	泰兴市	1	1	1	499
16360	检验	1	1	1	22
16361	日记账	1	1	1	1
16362	胰岛	1	1	1	3
16363	电路板	1	1	1	35
16364	治愚	1	1	1	2
16365	眉心	1	1	1	1
16366	终止	1	1	1	71
16367	公升	1	1	1	0
16368	公产	1	1	1	6
16369	激切	1	1	1	40
16370	失礼	2	2	2	12
16371	上层建筑	1	1	1	1
16372	义务劳动	1	1	1	3
16373	咯	1	1	1	4
16374	极化	1	1	1	12
16375	坷拉	1	1	1	5
16376	直升机	1	1	1	23
16377	卓尔不群	1	1	1	17
16378	三轮	1	1	1	101
16379	水日	1	1	1	31
16380	黑话	1	1	1	3
16381	农行	1	1	1	5
16382	预选	1	1	1	4
16383	桑园	1	1	1	22
16384	住地	1	1	1	3
16385	去伪存真	1	1	1	1
16386	商讨	1	1	1	24
16387	招事	1	1	1	33
16388	蚀	1	1	1	13
16389	须发	1	1	1	4
16390	情景	1	2	2	30
16391	新婚户	1	1	1	0
16392	眉清目秀	1	1	1	40
16393	领事	1	1	1	8
16394	茧子	2	2	2	3
16395	铧	1	1	1	1
16396	重起炉灶	1	1	1	18
16397	界面	1	1	1	10
16398	涮洗	1	1	1	9
16399	贪嘴	1	1	1	7
16400	果苗	1	1	1	18
16401	侧后	1	1	1	2
16402	时间表	1	1	1	35
16403	甘雨	1	1	1	3
16404	花种	1	1	1	7
16405	拉锁儿	1	1	1	2
16406	活动桥	1	1	1	1
16407	除非	1	1	1	2
16408	动荡	1	1	1	28
16409	卓有成效	1	1	1	25
16410	泽国	2	2	2	8
16411	飙升	1	1	1	6
16412	店面	1	1	1	0
16413	法文	1	1	1	12
16414	逆	3	3	4	29
16415	癌魔	1	1	1	7
16416	岁数	1	1	1	11
16417	跑题	1	1	1	0
16418	乱套	1	1	1	43
16419	亲征	1	1	1	5
16420	蛾子	1	1	1	2
16421	皇冠	1	1	1	1
16422	提篮	1	1	1	3
16423	该药	1	1	1	33
16424	墨梅图	1	1	1	12
16425	注意	1	1	1	19
16426	双城镇	1	1	1	172
16427	神色	1	1	1	7
16428	吞吐量	1	1	1	141
16429	钩	2	3	3	13
16430	大肉	1	1	1	17
16431	国家	1	1	1	5
16432	不违农时	1	1	1	5
16433	电子眼	1	1	1	31
16434	生土	1	1	1	5
16435	人民政权党	1	1	1	71
16436	地形图	1	1	1	2
16437	针灸学会	1	1	1	76
16438	新建县	1	1	1	571
16439	皱眉	1	1	1	5
16440	并且	1	1	1	10
16441	正体	1	1	1	7
16442	创导	1	1	1	11
16443	富态	1	1	1	26
16444	粪土	1	1	1	10
16445	石头块	1	1	1	8
16446	发榜	1	1	1	3
16447	怀想	1	1	1	21
16448	电木	1	1	1	4
16449	领航	1	1	1	1
16450	脱销	1	1	1	3
16451	坑农	1	1	1	1
16452	山崖	1	1	1	9
16453	问柳寻花	1	1	1	9
16454	大衣	1	1	1	3
16455	未定稿	1	1	1	4
16456	地温	1	1	1	1
16457	庸人	1	1	1	12
16458	辛劳	1	1	1	35
16459	老三届	1	1	1	1
16460	回采	1	1	1	0
16461	刀刃	1	1	1	8
16462	港方	1	1	1	30
16463	晓谕	1	1	1	4
16464	振作	1	1	1	23
16465	侧向	1	1	1	17
16466	金边	1	1	1	0
16467	波峰浪谷	1	1	1	15
16468	清晨	1	1	1	6
16469	香烟	1	2	2	15
16470	初八	1	1	1	6
16471	入赘	1	1	1	6
16472	转发器	1	1	1	145
16473	钳子	1	2	2	7
16474	萤石	1	1	1	1
16475	趱	1	1	1	3
16476	地层	1	1	1	2
16477	监察部	1	1	1	80
16478	纯文学	1	1	1	3
16479	燎原之势	1	1	1	10
16480	殃	1	1	1	13
16481	洋缎	1	1	1	40
16482	飞行区	1	1	1	171
16483	坦桑尼亚联合共和国	1	1	1	299
16484	僵尸	2	2	2	11
16485	死灰	1	1	1	4
16486	窗洞	1	1	1	14
16487	清朗	2	2	2	18
16488	毛边纸	1	1	1	0
16489	员外	1	1	1	4
16490	听骨	1	1	1	22
16491	焕	1	1	1	50
16492	回天之力	1	1	1	1
16493	作孽	1	1	1	12
16494	陨灭	1	1	1	48
16495	群英谱	1	1	1	8
16496	胶带	1	1	1	25
16497	末流	1	1	1	11
16498	融汇	1	1	1	26
16499	设计奖	1	1	1	13
16500	州里	1	1	1	12
16501	果子盐	1	1	1	21
16502	鲜鱼	1	1	1	4
16503	打中	1	1	1	8
16504	渭河	1	1	1	21
16505	搭救	1	1	1	20
16506	小国	1	1	1	2
16507	制胜	1	1	1	28
16508	永恒	1	2	2	36
16509	吉祥物	1	1	1	27
16510	末日	1	1	1	22
16511	荒山坡	1	1	1	1
16512	寒气	1	1	1	6
16513	水藻	1	1	1	3
16514	烷基	1	1	1	8
16515	德文版	1	1	1	39
16516	赔不是	1	1	1	6
16517	池	1	1	1	4
16518	价位	2	2	2	28
16519	字迹	1	1	1	2
16520	城防	1	1	1	9
16521	捣	1	1	1	8
16522	找钱	1	1	1	1
16523	电子光学	1	1	1	176
16524	历算论点	1	1	1	1
16525	房改	1	1	1	6
16526	人权会	1	1	1	118
16527	败兴	1	1	1	4
16528	题材	1	1	1	2
16529	抛光片	1	1	1	2
16530	鸡心	1	1	1	1
16531	旧石器	1	1	1	145
16532	佳期	1	1	1	2
16533	毒瘾	1	1	1	1
16534	马耳他共和国	1	1	1	299
16535	风土	1	1	1	13
16536	阁员	1	1	1	10
16537	石阶道	1	1	1	35
16538	高喊	1	1	1	12
16539	加强型	1	1	1	2
16540	煮饭	1	1	1	4
16541	救助点	1	1	1	38
16542	麦草	1	1	1	64
16543	货机	1	1	1	62
16544	干旱	1	1	1	3
16545	金银	1	1	1	1
16546	人命关天	1	1	1	9
16547	如下	1	1	1	5
16548	有关	2	2	2	17
16549	社会保险金	1	1	1	136
16550	团结乡	1	1	1	130
16551	合作部	1	1	1	53
16552	公粮	1	1	1	25
16553	当场	1	2	2	13
16554	诈	2	3	4	52
16555	隔离带	1	1	1	11
16556	大帽子	1	1	1	25
16557	积铢累寸	1	1	1	13
16558	食槽	1	1	1	9
16559	门当户对	1	1	1	9
16560	萧索	1	1	1	16
16561	军长	1	1	1	14
16562	运动员	1	1	1	2
16563	神圣	1	1	1	9
16564	铁流	2	2	2	8
16565	茂名市	1	1	1	499
16566	踏实	1	1	1	16
16567	收讫	1	1	1	1
16568	颅脑	1	1	1	4
16569	掺杂	1	1	1	24
16570	乐迷	1	1	1	15
16571	园林	1	1	1	5
16572	守护	1	2	2	18
16573	对立	2	2	2	13
16574	答数	1	1	1	1
16575	站长	1	1	1	24
16576	清理	1	1	1	3
16577	彭泽鲫	1	1	1	43
16578	电磁能	1	1	1	22
16579	宣发	1	1	1	2
16580	课后	1	1	1	11
16581	筵宴	1	1	1	7
16582	高亢	1	1	1	23
16583	桑叶	1	1	1	8
16584	俊	1	1	1	7
16585	高级	1	1	1	4
16586	油迹	1	1	1	1
16587	金融家	1	1	1	114
16588	交臂失之	1	1	1	4
16589	独善其身	1	1	1	11
16590	安澜	1	1	1	26
16591	有道是	1	1	1	16
16592	上证	1	1	1	5
16593	一体式	1	1	1	129
16594	训练班	1	1	1	1
16595	皮开肉绽	1	1	1	3
16596	武装带	1	1	1	25
16597	断档	1	1	1	2
16598	叙述	1	1	1	5
16599	定子	1	1	1	2
16600	翰林	1	1	1	27
16601	初小	1	1	1	1
16602	唯一	1	1	1	2
16603	一步舞	1	1	1	5
16604	西雅图	1	1	1	71
16605	初婚	1	1	1	7
16606	代表性	1	1	1	102
16607	蕉	1	1	1	1
16608	铺板	1	1	1	35
16609	通今博古	1	1	1	20
16610	仙客来	1	1	1	67
16611	加工区	1	1	1	171
16612	贯通	2	2	2	18
16613	后来人	1	1	1	13
16614	透河井	1	1	1	14
16615	讽刺	1	1	1	12
16616	常胜	1	1	1	28
16617	摧	1	1	1	8
16618	一连	1	1	1	17
16619	目下	1	1	1	13
16620	外因	1	1	1	8
16621	火箭炮	1	1	1	2
16622	镇里	1	1	1	4
16623	陪审制	1	1	1	4
16624	民主德国	1	1	1	299
16625	泼陂河镇	1	1	1	172
16626	室内乐	1	1	1	22
16627	血气	2	3	3	42
16628	草芥	1	1	1	10
16629	受理费	1	1	1	136
16630	鹫	1	1	1	1
16631	兴利除弊	1	1	1	8
16632	纯数学	1	1	1	1
16633	具体化	1	1	1	25
16634	有着	1	1	1	31
16635	永世长存	1	1	1	12
16636	差一点	1	1	1	4
16637	取暖器	1	1	1	0
16638	弘旨	1	1	1	8
16639	搜肠刮肚	1	1	1	6
16640	集邮品	1	1	1	52
16641	悬崖	1	1	1	9
16642	壮族	1	1	1	66
16643	计算机业	1	1	1	149
16644	实际工资	1	1	1	5
16645	舞台	1	1	1	1
16646	支出	2	2	2	20
16647	知心话	1	1	1	4
16648	鼠疫	1	1	1	0
16649	将养	1	1	1	20
16650	预备	1	1	1	8
16651	水洗	1	1	1	2
16652	家长制	1	1	1	2
16653	沤	1	1	1	1
16654	打转儿	1	1	1	15
16655	始料不及	1	1	1	23
16656	气象学	1	1	1	176
16657	参阅	1	1	1	4
16658	严冬	1	1	1	6
16659	工作量	1	1	1	141
16660	节资率	1	1	1	187
16661	谋杀	1	1	1	14
16662	渗透法	1	1	1	113
16663	吊民伐罪	1	2	2	10
16664	鞣酸	1	1	1	35
16665	现价	1	1	1	104
16666	走街串巷	1	1	1	8
16667	平等	1	1	1	32
16668	火暴	1	1	1	13
16669	来势	1	1	1	17
16670	序	1	1	1	9
16671	可好	1	1	1	21
16672	歌迷	1	1	1	15
16673	动物学	1	1	1	176
16674	急流勇进	1	1	1	53
16675	高尚	1	1	1	9
16676	体育界	1	1	1	5
16677	既往不咎	1	1	1	13
16678	赞佩	1	1	1	14
16679	水标	1	1	1	4
16680	溪乾村	1	1	1	183
16681	遂昌县	1	1	1	571
16682	出线	2	2	2	12
16683	走访	1	1	1	14
16684	大专院校	1	1	1	1
16685	争购	1	1	1	13
16686	光线	1	1	1	15
16687	底账	1	1	1	0
16688	军鸽	1	1	1	4
16689	功亏一篑	1	1	1	26
16690	甲状软骨	1	1	1	3
16691	航空公司	1	1	1	13
16692	形容词	1	1	1	10
16693	游离电子	1	1	1	9
16694	争斤论两	1	1	1	10
16695	野生	1	1	1	5
16696	裴	1	1	1	154
16697	木豆	1	1	1	1
16698	情	1	3	3	53
16699	分割	1	1	1	14
16700	开工	1	1	1	3
16701	出品人	1	1	1	3
16702	似乎	1	1	1	14
16703	富	1	2	2	72
16704	副虹	1	1	1	2
16705	庄禾集村	1	1	1	183
16706	银矿	1	1	1	37
16707	春秋正富	1	1	1	22
16708	罴	1	1	1	7
16709	游侠	1	1	1	6
16710	一言为定	1	1	1	5
16711	雇佣劳动	1	1	1	3
16712	公演	1	1	1	8
16713	水葱	1	1	1	3
16714	轻佻	1	1	1	19
16715	厨房	1	1	1	5
16716	聚丙烯	1	1	1	10
16717	黄梅戏	1	1	1	0
16718	珍爱	1	1	1	8
16719	针织物	1	1	1	4
16720	散热管	1	1	1	2
16721	编剧	1	1	1	1
16722	税纪	1	1	1	9
16723	互谅互让	1	1	1	0
16724	印谱	1	1	1	8
16725	鸡皮疙瘩	1	1	1	0
16726	碰上	1	1	1	20
16727	藏污纳垢	1	1	1	0
16728	链轨	1	1	1	1
16729	诸事	1	1	1	2
16730	田螺	1	1	1	7
16731	过瘾	1	1	1	18
16732	风霜	1	1	1	3
16733	捏造	1	1	1	9
16734	洽商	1	1	1	5
16735	越瓜	1	1	1	1
16736	举国体制	1	1	1	10
16737	见报	1	1	1	13
16738	休闲地	1	1	1	2
16739	出使	1	1	1	0
16740	钾肥	1	1	1	3
16741	传播发展期	1	1	1	35
16742	虾酱	1	1	1	9
16743	悉心	1	1	1	18
16744	姗姗来迟	1	1	1	7
16745	过不去	2	2	2	39
16746	手到擒拿	1	1	1	25
16747	撤离	1	1	1	8
16748	奖优罚劣	1	1	1	1
16749	撰	1	1	1	27
16750	哭	1	1	1	5
16751	铁	1	2	2	17
16752	少白头	1	1	1	1
16753	久闻大名	1	1	1	0
16754	使眼色	2	2	2	6
16755	充任	1	1	1	10
16756	球市	1	1	1	14
16757	反反复复	1	1	1	22
16758	边沿	1	1	1	16
16759	线圈	1	1	1	9
16760	初级小学	1	1	1	1
16761	共鸣点	1	1	1	9
16762	上元节	1	1	1	2
16763	死火山	1	1	1	11
16764	有利可图	1	1	1	0
16765	限时	1	1	1	1
16766	兴头	1	1	1	11
16767	诗刊社	1	1	1	10
16768	坍塌	1	1	1	12
16769	鸡杂	1	1	1	2
16770	喜马拉雅山	1	1	1	206
16771	真格的	1	1	1	21
16772	中组部	1	1	1	80
16773	痴	3	3	3	68
16774	满腔热忱	1	1	1	14
16775	光棍	1	2	2	17
16776	补种	1	1	1	3
16777	祸乱	1	1	1	17
16778	别墅区	1	1	1	21
16779	增资	1	1	1	0
16780	负债表	1	1	1	35
16781	坐失良机	1	1	1	3
16782	山道	1	1	1	2
16783	生灵涂炭	1	1	1	21
16784	知天命	1	1	1	0
16785	务工地	1	1	1	55
16786	文件	1	1	1	6
16787	决堤	1	1	1	1
16788	福	3	3	3	26
16789	恋旧	1	1	1	4
16790	悉数	1	1	1	2
16791	在逃犯	1	1	1	2
16792	粗花呢	1	1	1	12
16793	够味儿	1	2	2	80
16794	巡抚	1	1	1	27
16795	漂亮话	1	1	1	4
16796	康泰	1	1	1	33
16797	祭品	1	1	1	3
16798	北卡罗来纳州	1	1	1	116
16799	转达	1	1	1	5
16800	后进生	1	1	1	21
16801	冈峦	1	1	1	10
16802	簪	1	1	1	8
16803	资	2	2	2	11
16804	此前	1	1	1	6
16805	扎耳朵	1	1	1	3
16806	特质	1	1	1	0
16807	外刊	1	1	1	27
16808	担保费	1	1	1	136
16809	东面	1	1	1	6
16810	古县	1	1	1	571
16811	名存实亡	1	1	1	15
16812	金科玉律	1	1	1	15
16813	肽	1	1	1	17
16814	柳琴	1	1	1	0
16815	刑释解教	1	1	1	15
16816	一道	1	1	1	34
16817	明史	1	1	1	1
16818	扭力天平	1	1	1	11
16819	下基层	1	1	1	4
16820	冰冷	1	2	2	28
16821	空	3	6	6	108
16822	以至于	1	1	1	4
16823	攘	1	1	1	2
16824	那里	1	1	1	1
16825	博大	1	1	1	12
16826	市话	1	1	1	0
16827	肢	1	1	1	1
16828	义理	1	1	1	2
16829	用地	1	1	1	1
16830	堆	4	4	4	15
16831	风采录	1	1	1	9
16832	跳板	1	1	1	7
16833	小商	1	1	1	5
16834	古书	1	1	1	2
16835	入味	1	1	1	13
16836	趁机	2	2	2	53
16837	闻	1	1	1	6
16838	开发	1	2	2	10
16839	同比	1	1	1	8
16840	中老年人	1	1	1	19
16841	异香	1	1	1	31
16842	卵石	1	1	1	2
16843	护卫艇	1	1	1	1
16844	潜热	1	1	1	3
16845	大捷	1	1	1	28
16846	检定	1	1	1	5
16847	放肆	1	1	1	40
16848	蘑菇	3	3	3	28
16849	中到大雨	1	1	1	11
16850	晦暗	1	1	1	23
16851	文化课	1	1	1	29
16852	夫妇	1	1	1	7
16853	联贯	1	1	1	17
16854	瀹	1	1	1	9
16855	全队	1	1	1	3
16856	喀麦隆	1	1	1	299
16857	池盐	1	1	1	8
16858	首相	1	1	2	18
16859	过把瘾	1	1	1	0
16860	志愿兵	1	1	1	27
16861	墙脚	1	1	1	0
16862	明渠	1	1	1	10
16863	打开	2	2	2	14
16864	姘妇	1	1	1	3
16865	杀青	2	2	2	5
16866	住校	1	1	1	2
16867	履行	1	1	1	11
16868	本位	1	1	1	17
16869	香油	1	1	1	2
16870	兼并	1	1	1	9
16871	作用力	1	1	1	25
16872	蠢材	1	1	1	12
16873	济宁市	1	1	1	499
16874	马尼拉	2	2	2	332
16875	升序	1	1	1	2
16876	嚷	3	3	3	60
16877	备要	1	1	1	3
16878	自幼	1	1	1	4
16879	浮选	1	1	1	0
16880	员	2	2	2	23
16881	商家	1	1	1	27
16882	敷衍塞责	1	1	1	9
16883	牵强	1	1	1	4
16884	科学研究	1	1	1	2
16885	神经原	1	1	1	2
16886	没用	1	1	1	18
16887	前因后果	1	1	1	11
16888	举世闻名	1	1	1	40
16889	搀和	1	1	1	4
16890	提取	1	1	1	5
16891	泥沙俱下	1	1	1	24
16892	鼓噪	1	1	1	33
16893	注射器	1	1	1	1
16894	义肢	1	1	1	2
16895	得胜	1	1	1	28
16896	辛店村	1	1	1	183
16897	黄砂	1	1	1	9
16898	匾额	1	1	1	3
16899	生物圈	1	1	1	3
16900	翻新	1	1	1	4
16901	刑名	1	2	2	24
16902	横逆	1	1	1	3
16903	沉凝	1	1	1	28
16904	麻烦	4	4	5	45
16905	岗哨	2	2	2	6
16906	喝茶	1	1	1	1
16907	中纪委	1	1	1	2
16908	咋	1	1	1	7
16909	胜景	1	1	1	9
16910	驼背	2	2	2	6
16911	几内亚	1	1	1	299
16912	决赛权	1	1	1	74
16913	广为人知	1	1	1	40
16914	大众报	1	1	1	55
16915	珊瑚丸	1	1	1	2
16916	安福县	1	1	1	571
16917	打蜡	1	1	1	0
16918	起伏跌宕	1	1	1	8
16919	专线	2	2	2	51
16920	西面	1	1	1	7
16921	本行业	1	1	1	0
16922	哨兵	1	1	1	3
16923	颂古非今	1	1	1	0
16924	抽空	1	1	1	3
16925	枪	1	1	1	3
16926	闲空	2	2	2	34
16927	荆门市	1	1	1	499
16928	亏空	3	3	3	13
16929	一品红	1	2	2	109
16930	名目繁多	1	1	1	44
16931	造次	1	2	2	41
16932	养家	1	1	1	2
16933	落水	1	1	1	16
16934	活活	1	1	1	7
16935	待字闺中	1	1	1	0
16936	束	4	4	4	44
16937	牧马	1	1	1	23
16938	皮质	1	1	1	2
16939	书画集	1	1	1	34
16940	牛年马月	1	1	1	3
16941	增值	1	1	1	3
16942	辅修	1	1	1	5
16943	分摊	1	1	1	5
16944	信口	1	1	1	2
16945	更其	1	1	1	23
16946	外钞	1	1	1	13
16947	闲荡	2	2	2	17
16948	负有	1	1	1	31
16949	吵架	1	1	1	13
16950	石版	1	1	1	11
16951	首屈一指	1	1	1	42
16952	预报员	1	1	1	0
16953	洪流	2	3	3	12
16954	通过率	1	1	1	187
16955	演播厅	1	1	1	4
16956	桦南县	1	1	1	571
16957	严	1	2	2	24
16958	尊老	1	1	1	3
16959	用材	1	1	1	1
16960	改	2	3	3	28
16961	精装本	1	1	1	3
16962	多年来	1	1	1	14
16963	放血	1	1	1	1
16964	笔耕不辍	1	1	1	0
16965	死灰复燃	1	1	1	18
16966	鳏寡孤独	1	1	1	2
16967	人造石油	1	1	1	5
16968	传真机	1	1	1	5
16969	暮鼓	1	1	1	31
16970	日喀则	1	1	1	279
16971	党务案	1	1	1	0
16972	金条	1	1	1	2
16973	光盘	1	1	1	12
16974	软玉	1	1	1	3
16975	县志	1	1	1	0
16976	沏茶	1	1	1	3
16977	不期而遇	1	1	1	5
16978	活塞	1	1	1	2
16979	候补委员	1	1	1	3
16980	近年来	1	1	1	14
16981	胡麻	1	1	1	8
16982	纺织厂	1	1	1	115
16983	反驳	1	1	2	27
16984	加人一等	1	1	1	42
16985	就席	1	1	1	4
16986	怪不得	1	1	1	4
16987	卫生部长	1	1	1	41
16988	血汗钱	1	1	1	1
16989	假想敌	1	1	1	11
16990	瘰疬	1	1	1	1
16991	医学界	1	1	1	2
16992	纸质	1	1	1	15
16993	鸿爪	1	1	1	3
16994	匆促	1	1	1	16
16995	畅	2	2	2	17
16996	耕作	1	1	1	4
16997	死而后已	1	1	1	14
16998	断代	1	1	1	2
16999	结局	1	2	2	17
17000	空手	1	1	1	15
17001	黄山松	1	1	1	13
17002	小商贩	1	1	1	5
17003	顶峰	2	2	2	23
17004	豆面	1	1	1	3
17005	大中小学	1	1	1	12
17006	特古西加尔巴	1	1	1	120
17007	看病	1	1	1	14
17008	或	1	2	2	21
17009	矣	1	1	1	5
17010	巩膜	1	1	1	12
17011	凌海市	1	1	1	499
17012	树立	1	1	1	11
17013	风油精	1	1	1	21
17014	人烟稀少	1	1	1	9
17015	一阵风	1	1	1	0
17016	砂砾	1	1	1	8
17017	划时代	1	1	1	12
17018	艺坛	1	1	1	4
17019	清静	1	1	1	40
17020	装卸	1	1	1	0
17021	投篮	1	1	1	0
17022	爆出	1	1	1	11
17023	蜡版	1	1	1	3
17024	监督卡	1	1	1	33
17025	欺	1	1	1	23
17026	奥地利人	1	1	1	62
17027	有分寸	1	1	1	44
17028	旧教	1	1	1	1
17029	蟊贼	1	1	1	3
17030	立方体	1	1	1	2
17031	吉卜赛人	1	1	1	62
17032	礼拜二	1	1	1	2
17033	体	3	5	5	23
17034	叹	2	2	2	19
17035	白大褂	1	1	1	44
17036	磨灭	1	1	1	48
17037	沿阶草	1	1	1	2
17038	经合	1	1	1	6
17039	油管	1	1	1	14
17040	小港	1	1	1	20
17041	教育	2	2	2	17
17042	药料	1	1	1	5
17043	糖衣炮弹	1	1	1	2
17044	黄浦区	1	1	1	142
17045	友邦	1	1	1	6
17046	备感	1	1	1	10
17047	北大	1	1	1	73
17048	渔产品	1	1	1	16
17049	晚练	1	1	1	4
17050	哗啦	1	1	1	10
17051	零食	1	1	1	14
17052	花木	1	1	1	10
17053	苇席	1	1	1	2
17054	彩色棉	1	1	1	1
17055	无私有弊	1	1	1	2
17056	日利率	1	2	2	187
17057	古典文学	1	1	1	4
17058	轨范	1	1	1	9
17059	干休所	1	1	1	4
17060	会集	1	1	1	28
17061	叙述者	1	1	1	0
17062	莳花种草	1	1	1	8
17063	一石多鸟	1	1	1	7
17064	海外	1	1	2	18
17065	把手	1	1	1	9
17066	儿	3	3	3	16
17067	黄瓜秧	1	1	1	18
17068	巴伐利亚	1	1	1	53
17069	变奏	1	1	1	0
17070	特色牌	1	1	1	19
17071	不可名状	1	1	1	3
17072	守财奴	1	1	1	5
17073	边境线	1	1	1	9
17074	并列	1	1	1	7
17075	余切	1	1	1	109
17076	开进	1	1	1	3
17077	白苏	1	1	1	1
17078	赤膊上阵	1	1	1	6
17079	避	2	2	2	10
17080	三峰驼	1	1	1	2
17081	俨然	2	3	3	52
17082	谆谆告诫	1	1	1	17
17083	选修	1	1	1	5
17084	曲意奉承	1	1	1	36
17085	会场	1	1	1	86
17086	客流	1	1	1	141
17087	缙	1	1	1	4
17088	列举	1	1	1	7
17089	声腔	1	1	1	8
17090	消失	1	1	1	48
17091	此间	1	1	1	5
17092	决议	1	1	1	2
17093	暴发户	2	2	2	54
17094	官	3	3	4	29
17095	大脑	1	1	1	4
17096	文人学士	1	1	1	23
17097	闲事	1	1	1	13
17098	歪门邪道	1	1	1	6
17099	张	3	4	4	58
17100	层层叠叠	1	1	1	16
17101	冤屈	3	3	3	30
17102	空当儿	1	1	1	17
17103	剑术	1	1	1	3
17104	任县	1	1	1	571
17105	从古到今	1	1	1	18
17106	苏伊士运河	1	1	1	21
17107	野葡萄	1	1	1	3
17108	早茶	1	1	1	3
17109	内地	1	1	1	1
17110	乌鲁木齐县	1	1	1	571
17111	萎蔫	1	1	1	16
17112	效益观	1	1	1	2
17113	杯弓蛇影	1	1	1	15
17114	融解	1	1	1	10
17115	南漳县	1	1	1	571
17116	到头来	1	1	1	15
17117	红榜	1	1	1	1
17118	法帖	1	1	1	1
17119	晚会	1	1	1	118
17120	开始	2	2	2	46
17121	颗粒	1	1	1	6
17122	名特优新	1	1	1	67
17123	使	4	5	5	78
17124	死尸	1	1	1	10
17125	异域	2	2	2	23
17126	安居乐教	1	1	1	1
17127	调类	1	1	1	20
17128	蜡床	1	1	1	17
17129	心醉	1	1	1	10
17130	炼制	1	1	1	4
17131	棚户区	1	1	1	171
