index	Char	Pinyin	Bujian
2906	昔	xī	3
2907	熙	xī	4
2908	析	xī	3
2909	西	xī	1
2910	硒	xī	3
2911	矽	xī	3
2912	晰	xī	4
2913	嘻	xī	5
2914	吸	xī	3
2915	锡	xī	4
2916	牺	xī	3
2917	稀	xī	5
2918	息	xī	3
2919	希	xī	4
2920	悉	xī	3
2921	膝	xī	5
2922	夕	xī	1
2923	惜	xī	4
2924	熄	xī	4
2925	烯	xī	5
2926	溪	xī	5
2927	汐	xī	3
2928	犀	xī	4
2929	檄	xí	5
2930	袭	xí	3
2931	席	xí	4
2932	习	xí	1
2933	媳	xí	4
2934	喜	xǐ	4
2935	铣	xǐ	4
2936	洗	xǐ	4
2937	系	jì	3
2938	隙	xì	5
2939	戏	xì	3
2940	细	xì	3
2941	瞎	xiā	5
2942	虾	xiā	3
2943	匣	xiá	3
2944	霞	xiá	5
2945	辖	xiá	5
2946	暇	xiá	5
2947	峡	xiá	3
2948	侠	xiá	3
2949	狭	xiá	3
2950	下	xià	3
2951	厦	shà	4
2952	夏	xià	3
2953	吓	xià	3
2954	掀	xiān	4
2955	锨	xiān	4
2956	先	xiān	3
2957	仙	xiān	3
2958	鲜	xiān	3
2959	纤	qiàn	3
2960	咸	xián	4
2961	贤	xián	4
2962	衔	xián	5
2963	舷	xián	3
2964	闲	xián	3
2965	涎	xián	4
2966	弦	xián	3
2967	嫌	xián	3
2968	显	xiǎn	3
2969	险	xiǎn	4
2970	现	xiàn	3
2971	献	xiàn	6
2972	县	xiàn	3
2973	腺	xiàn	4
2974	馅	xiàn	4
2975	羡	xiàn	4
2976	宪	xiàn	4
2977	陷	xiàn	4
2978	限	xiàn	3
2979	线	xiàn	3
2980	相	xiāng	3
2981	厢	xiāng	4
2982	镶	xiāng	7
2983	香	xiāng	3
2984	箱	xiāng	4
2985	襄	xiāng	6
2986	湘	xiāng	4
2987	乡	xiāng	1
2988	翔	xiáng	3
2989	祥	xiáng	3
2990	详	xiáng	3
2991	想	xiǎng	4
2992	响	xiǎng	4
2993	享	xiǎng	4
2994	项	xiàng	3
2995	巷	xiàng	4
2996	橡	xiàng	3
2997	像	xiàng	3
2998	向	xiàng	3
2999	象	xiàng	4
3000	萧	xiāo	3
3001	硝	xiāo	4
3002	霄	xiāo	4
3003	削	xiāo	4
3004	哮	xiào	4
3005	嚣	xiāo	6
3006	销	xiāo	4
3007	消	xiāo	4
3008	宵	xiāo	4
3009	淆	xiáo	3
3010	晓	xiǎo	4
3011	小	xiǎo	1
3012	孝	xiào	3
3013	校	xiào	4
3014	肖	xiāo	3
3015	啸	xiào	3
3016	笑	xiào	3
3017	效	xiào	4
3018	楔	xiē	5
3019	些	xiē	5
3020	歇	xiē	4
3021	蝎	xiē	4
3022	鞋	xié	4
3023	协	xié	3
3024	挟	xié	3
3025	携	xié	4
3026	邪	xié	3
3027	斜	xié	4
3028	胁	xié	3
3029	谐	xié	4
3030	写	xiě	4
3031	械	xiè	4
3032	卸	xiè	3
3033	蟹	xiè	5
3034	懈	xiè	5
3035	泄	xiè	3
3036	泻	xiè	5
3037	谢	xiè	4
3038	屑	xiè	4
3039	薪	xīn	5
3040	芯	xīn	3
3041	锌	xīn	3
3042	欣	xīn	3
3043	辛	xīn	3
3044	新	xīn	4
3045	忻	xīn	3
3046	心	xīn	1
3047	信	xìn	3
3048	衅	xìn	3
3049	星	xīng	3
3050	腥	xīng	4
3051	猩	xīng	4
3052	惺	xīng	4
3053	兴	xīng	3
3054	刑	xíng	3
3055	型	xíng	4
3056	形	xíng	3
3057	邢	xíng	3
3058	行	háng	4
3059	醒	xǐng	4
3060	幸	xìng	4
3061	杏	xìng	3
3062	性	xìng	3
3063	姓	xìng	3
3064	兄	xiōng	3
3065	凶	xiōng	3
3066	胸	xiōng	5
3067	匈	xiōng	4
3068	汹	xiōng	4
3069	雄	xióng	4
3070	熊	xióng	6
3071	休	xiū	3
3072	修	xiū	4
3073	羞	xiū	3
3074	朽	xiǔ	3
3075	嗅	xiù	4
3076	锈	xiù	4
3077	秀	xiù	3
3078	袖	xiù	3
3079	绣	xiù	4
3080	墟	xū	4
3081	戌	xū	3
3082	需	xū	3
3083	虚	xū	3
3084	嘘	shī	4
3085	须	xū	3
3086	徐	xú	4
3087	许	xǔ	4
3088	蓄	xù	4
3089	酗	xù	4
3090	叙	xù	4
3091	旭	xù	3
3092	序	xù	3
3093	畜	chù	3
3094	恤	xù	3
3095	絮	xù	4
3096	婿	xù	4
3097	绪	xù	4
3098	续	xù	4
3099	轩	xuān	3
3100	喧	xuān	6
3101	宣	xuān	5
3102	悬	xuán	4
3103	旋	xuán	4
3104	玄	xuán	3
3105	选	xuǎn	4
3106	癣	xuǎn	4
3107	眩	xuàn	3
3108	绚	xuàn	4
3109	靴	xuē	4
3110	薛	xuē	4
3111	学	xué	4
3112	穴	xué	3
3113	雪	xuě	3
3114	血	xiě	3
3115	勋	xūn	4
3116	熏	xūn	3
3117	循	xún	5
3118	旬	xún	3
3119	询	xún	4
3120	寻	xún	3
3121	驯	xùn	3
3122	巡	xún	3
3123	殉	xùn	4
3124	汛	xùn	3
3125	训	xùn	3
3126	讯	xùn	3
3127	逊	xùn	4
3128	迅	xùn	3
3129	压	yā	3
3130	押	yā	3
3131	鸦	yā	3
3132	鸭	yā	3
3133	呀	yā	3
3134	丫	yā	1
3135	芽	yá	3
3136	牙	yá	1
3137	蚜	yá	3
3138	崖	yá	5
3139	衙	yá	6
3140	涯	yá	5
3141	雅	yǎ	3
3142	哑	yǎ	3
3143	亚	yà	3
3144	讶	yà	3
3145	焉	yān	4
3146	咽	yān	4
3147	阉	yān	4
3148	烟	yān	4
3149	淹	yān	4
3150	盐	yán	4
3151	严	yán	5
3152	研	yán	3
3153	蜒	yán	4
3154	岩	yán	3
3155	延	yán	3
3156	言	yán	5
3157	颜	yán	4
3158	阎	yán	4
3159	炎	yán	3
3160	沿	yán	4
3161	奄	yǎn	3
3162	掩	yǎn	4
3163	眼	yǎn	3
3164	衍	yǎn	5
3165	演	yǎn	5
3166	艳	yàn	3
3167	堰	yàn	5
3168	燕	yàn	6
3169	厌	yàn	3
3170	砚	yàn	3
3171	雁	yàn	4
3172	唁	yàn	3
3173	彦	yàn	3
3174	焰	yàn	4
3175	宴	yàn	4
3176	谚	yàn	4
3177	验	yàn	4
3178	殃	yāng	3
3179	央	yāng	1
3180	鸯	yāng	3
3181	秧	yāng	3
3182	杨	yáng	3
3183	扬	yáng	3
3184	佯	yáng	3
3185	疡	yáng	3
3186	羊	yáng	1
3187	洋	yáng	3
3188	阳	yáng	3
3189	氧	yǎng	3
3190	仰	yǎng	4
3191	痒	yǎng	3
3192	养	yǎng	3
3193	样	yàng	3
3194	漾	yàng	4
3195	邀	yāo	5
3196	腰	yāo	4
3197	妖	yāo	3
3198	瑶	yáo	4
3199	摇	yáo	4
3200	尧	yáo	3
3201	遥	yáo	4
3202	窑	yáo	3
3203	谣	yáo	4
3204	姚	yáo	3
3205	咬	yǎo	4
3206	舀	yǎo	3
3207	药	yào	4
3208	要	yào	3
3209	耀	yào	4
3210	椰	yē	4
3211	噎	yē	5
3212	耶	yē	3
3213	爷	yé	3
3214	野	yě	3
3215	冶	yě	4
3216	也	yě	1
3217	页	yè	4
3218	掖	yē	5
3219	业	yè	4
3220	叶	yè	3
3221	曳	yè	1
3222	腋	yè	5
3223	夜	yè	4
3224	液	yè	5
3225	一	yī	1
3226	壹	yī	4
3227	医	yī	3
3228	揖	yī	4
3229	铱	yī	3
3230	依	yī	3
3231	伊	yī	3
3232	衣	yī	3
3233	颐	yí	3
3234	夷	yí	1
3235	遗	yí	4
3236	移	yí	4
3237	仪	yí	3
3238	胰	yí	3
3239	疑	yí	5
3240	沂	yí	3
3241	宜	yí	3
3242	姨	yí	3
3243	彝	yí	5
3244	椅	yī	5
3245	蚁	yǐ	3
3246	倚	yǐ	5
3247	已	yǐ	1
3248	乙	yǐ	1
3249	矣	yǐ	3
3250	以	yǐ	3
3251	艺	yì	3
3252	抑	yì	4
3253	易	yì	3
3254	邑	yì	3
3255	屹	gē	4
3256	亿	yì	3
3257	役	yì	3
3258	臆	yì	4
3259	逸	yì	3
3260	肄	yì	4
3261	疫	yì	3
3262	亦	yì	5
3263	裔	yì	5
3264	意	yì	3
3265	毅	yì	5
3266	忆	yì	3
3267	义	yì	1
3268	益	yì	4
3269	溢	yì	5
3270	诣	yì	4
3271	议	yì	3
3272	谊	yì	4
3273	译	yì	4
3274	异	yì	3
3275	翼	yì	5
3276	翌	yì	3
3277	绎	yì	4
3278	茵	yīn	4
3279	荫	yīn	4
3280	因	yīn	3
3281	殷	yān	3
3282	音	yīn	3
3283	阴	yīn	3
3284	姻	yīn	4
3285	吟	yín	3
3286	银	yín	3
3287	淫	yín	4
3288	寅	yín	4
3289	饮	yǐn	3
3290	尹	yǐn	1
3291	引	yǐn	3
3292	隐	yǐn	5
3293	印	yìn	3
3294	英	yīng	3
3295	樱	yīng	5
3296	婴	yīng	4
3297	鹰	yīng	5
3298	应	yīng	3
3299	缨	yīng	5
3300	莹	yíng	3
3301	萤	yíng	3
3302	营	yíng	4
3303	荧	yíng	3
3304	蝇	yíng	3
3305	迎	yíng	4
3306	赢	yíng	6
3307	盈	yíng	4
3308	影	yǐng	6
3309	颖	yǐng	4
3310	硬	yìng	3
3311	映	yìng	3
3312	哟	yō	4
3313	拥	yōng	3
3314	佣	yōng	3
3315	臃	yōng	5
3316	痈	yōng	3
3317	庸	yōng	3
3318	雍	yōng	4
3319	踊	yǒng	4
3320	蛹	yǒng	4
3321	咏	yǒng	3
3322	泳	yǒng	3
3323	涌	yǒng	4
3324	永	yǒng	1
3325	恿	yǒng	4
3326	勇	yǒng	4
3327	用	yòng	3
3328	幽	yōu	4
3329	优	yōu	3
3330	悠	yōu	4
3331	忧	yōu	3
3332	尤	yóu	1
3333	由	yóu	1
3334	邮	yóu	3
3335	铀	yóu	3
3336	犹	yóu	3
3337	油	yóu	3
3338	游	yóu	5
3339	酉	yǒu	1
3340	有	yǒu	1
3341	友	yǒu	2
3342	右	yòu	3
3343	佑	yòu	4
3344	釉	yòu	3
3345	诱	yòu	4
3346	又	yòu	1
3347	幼	yòu	3
3348	迂	yū	3
3349	淤	yū	5
3350	于	yú	1
3351	盂	yú	3
3352	榆	yú	5
3353	虞	yú	4
3354	愚	yú	3
3355	舆	yú	4
3356	余	yú	3
3357	俞	yú	4
3358	逾	yú	5
3359	鱼	yú	4
3360	愉	yú	5
3361	渝	yú	5
3362	渔	yú	3
3363	隅	yú	3
3364	予	yú	1
3365	娱	yú	4
3366	雨	yǔ	1
3367	与	yú	3
3368	屿	yǔ	4
3369	禹	yǔ	4
3370	宇	yǔ	3
3371	语	yǔ	4
3372	羽	yǔ	3
3373	玉	yù	1
3374	域	yù	5
3375	芋	yù	3
3376	郁	yù	2
3377	吁	xū	3
3378	遇	yù	3
3379	喻	yù	5
3380	峪	yù	3
3381	御	yù	4
3382	愈	yù	5
3383	欲	yù	3
3384	狱	yù	4
3385	育	yù	3
3386	誉	yù	4
3387	浴	yù	3
3388	寓	yù	3
3389	裕	yù	3
3390	预	yù	3
3391	豫	yù	3
3392	驭	yù	3
3393	鸳	yuān	4
3394	渊	yuān	4
3395	冤	yuān	3
3396	元	yuán	3
3397	垣	yuán	5
3398	袁	yuán	4
3399	原	yuán	4
3400	援	yuán	4
3401	辕	yuán	5
3402	园	yuán	4
3403	员	yuán	3
3404	圆	yuán	4
3405	猿	yuán	5
3406	源	yuán	5
3407	缘	yuán	3
3408	远	yuǎn	4
3409	苑	yuàn	4
3410	愿	yuàn	5
3411	怨	yuàn	4
3412	院	yuàn	5
3413	曰	yuē	1
3414	约	yuē	3
3415	越	yuè	3
3416	跃	yuè	3
3417	钥	yào	3
3418	岳	yuè	3
3419	粤	yuè	4
3420	月	yuè	1
3421	悦	yuè	5
3422	阅	yuè	5
3423	耘	yún	4
3424	云	yún	3
3425	郧	yún	4
3426	匀	yún	3
3427	陨	yǔn	4
3428	允	yǔn	3
3429	运	yùn	4
3430	蕴	yùn	5
3431	酝	yùn	4
3432	晕	yūn	4
3433	韵	yùn	4
3434	孕	yùn	3
3435	匝	zā	3
3436	砸	zá	4
3437	杂	zá	3
3438	栽	zāi	3
3439	哉	zāi	3
3440	灾	zāi	3
3441	宰	zǎi	3
3442	载	zǎi	3
3443	再	zài	1
3444	在	zài	3
3445	咱	zán	3
3446	攒	cuán	7
3447	暂	zàn	4
3448	赞	zàn	6
3449	赃	zāng	4
3450	脏	zāng	4
3451	葬	zàng	6
3452	遭	zāo	4
3453	糟	zāo	4
3454	凿	záo	5
3455	藻	zǎo	7
3456	枣	zǎo	3
3457	早	zǎo	3
3458	澡	zǎo	6
3459	蚤	zǎo	3
3460	躁	zào	6
3461	噪	zào	6
3462	造	zào	4
3463	皂	zào	3
3464	灶	zào	3
3465	燥	zào	6
3466	责	zé	3
3467	择	zé	4
3468	则	zé	3
3469	泽	zé	4
3470	贼	zéi	4
3471	怎	zěn	3
3472	增	zēng	6
3473	憎	zēng	6
3474	曾	céng	5
3475	赠	zèng	6
3476	扎	zā	3
3477	喳	chā	5
3478	渣	zhā	5
3479	札	zhá	3
3480	轧	yà	3
3481	铡	zhá	4
3482	闸	zhá	3
3483	眨	zhǎ	3
3484	栅	shān	3
3485	榨	zhà	4
3486	咋	zǎ	3
3487	乍	zhà	4
3488	炸	zhá	3
3489	诈	zhà	3
3490	摘	zhāi	5
3491	斋	zhāi	3
3492	宅	zhái	3
3493	窄	zhǎi	3
3494	债	zhài	4
3495	寨	zhài	5
3496	瞻	zhān	6
3497	毡	zhān	4
3498	詹	zhān	5
3499	粘	nián	4
3500	沾	zhān	4
3501	盏	zhǎn	3
3502	斩	zhǎn	3
3503	辗	zhǎn	5
3504	崭	zhǎn	4
3505	展	zhǎn	4
3506	蘸	zhàn	5
3507	栈	zhàn	3
3508	占	zhān	3
3509	战	zhàn	4
3510	站	zhàn	4
3511	湛	zhàn	3
3512	绽	zhàn	4
3513	樟	zhāng	4
3514	章	zhāng	3
3515	彰	zhāng	4
3516	漳	zhāng	4
3517	张	zhāng	3
3518	掌	zhǎng	4
3519	涨	zhǎng	4
3520	杖	zhàng	3
3521	丈	zhàng	1
3522	帐	zhàng	3
3523	账	zhàng	3
3524	仗	zhàng	3
3525	胀	zhàng	3
3526	瘴	zhàng	4
3527	障	zhàng	4
3528	招	zhāo	4
3529	昭	zhāo	4
3530	找	zhǎo	3
3531	沼	zhǎo	4
3532	赵	zhào	3
3533	照	zhào	5
3534	罩	zhào	5
3535	兆	zhào	1
3536	肇	zhào	4
3537	召	zhào	3
3538	遮	zhē	5
3539	折	zhé	3
3540	哲	zhé	4
3541	蛰	zhé	4
3542	辙	zhé	5
3543	者	zhě	3
3544	锗	zhě	4
3545	蔗	zhè	5
3546	这	zhè	3
3547	浙	zhè	4
3548	珍	zhēn	4
3549	斟	zhēn	3
3550	真	zhēn	4
3551	甄	zhēn	4
3552	砧	zhēn	4
3553	臻	zhēn	4
3554	贞	zhēn	3
3555	针	zhēn	3
3556	侦	zhēn	4
3557	枕	zhěn	3
3558	疹	zhěn	4
3559	诊	zhěn	4
3560	震	zhèn	3
3561	振	zhèn	3
3562	镇	zhèn	5
3563	阵	zhèn	3
3564	蒸	zhēng	4
3565	挣	zhēng	3
3566	睁	zhēng	3
3567	征	zhēng	3
3568	狰	zhēng	3
3569	争	zhēng	3
3570	怔	zhēng	3
3571	整	zhěng	4
3572	拯	zhěng	4
3573	正	zhèng	3
3574	政	zhèng	3
3575	帧	zhēn	4
3576	症	zhēng	3
3577	郑	zhèng	4
3578	证	zhèng	3
3579	芝	zhī	3
3580	枝	zhī	3
3581	支	zhī	3
3582	吱	zhī	3
3583	蜘	zhī	4
3584	知	zhī	3
3585	肢	zhī	3
3586	脂	zhī	4
3587	汁	zhī	3
3588	之	zhī	1
3589	织	zhī	4
3590	职	zhí	4
3591	直	zhí	3
3592	植	zhí	4
3593	殖	zhí	4
3594	执	zhí	3
3595	值	zhí	4
3596	侄	zhí	3
3597	址	zhǐ	3
3598	指	zhǐ	4
3599	止	zhǐ	1
3600	趾	zhǐ	3
3601	只	zhī	3
3602	旨	zhǐ	3
3603	纸	zhǐ	3
3604	志	zhì	3
3605	挚	zhì	4
3606	掷	zhì	5
3607	至	zhì	3
3608	致	zhì	4
3609	置	zhì	4
3610	帜	zhì	4
3611	峙	zhì	4
3612	制	zhì	3
3613	智	zhì	4
3614	秩	zhì	3
3615	稚	zhì	3
3616	质	zhì	4
3617	炙	zhì	3
3618	痔	zhì	4
3619	滞	zhì	5
3620	治	zhì	4
3621	窒	zhì	3
3622	中	zhōng	1
3623	盅	zhōng	3
3624	忠	zhōng	3
3625	钟	zhōng	3
3626	衷	zhōng	3
3627	终	zhōng	4
3628	种	zhǒng	3
3629	肿	zhǒng	3
3630	重	chóng	1
3631	仲	zhòng	3
3632	众	zhòng	4
3633	舟	zhōu	1
3634	周	zhōu	4
3635	州	zhōu	1
3636	洲	zhōu	3
3637	诌	zhōu	4
3638	粥	zhōu	4
3639	轴	zhóu	3
3640	肘	zhǒu	3
3641	帚	zhǒu	4
3642	咒	zhòu	4
3643	皱	zhòu	4
3644	宙	zhòu	3
3645	昼	zhòu	4
3646	骤	zhòu	5
3647	珠	zhū	3
3648	株	zhū	3
3649	蛛	zhū	3
3650	朱	zhū	1
3651	猪	zhū	4
3652	诸	zhū	4
3653	诛	zhū	3
3654	逐	zhú	3
3655	竹	zhú	1
3656	烛	zhú	3
3657	煮	zhǔ	4
3658	拄	zhǔ	3
3659	瞩	zhǔ	4
3660	嘱	zhǔ	4
3661	主	zhǔ	3
3662	著	zhù	4
3663	柱	zhù	3
3664	助	zhù	3
3665	蛀	zhù	3
3666	贮	zhù	4
3667	铸	zhù	4
3668	筑	zhù	4
3669	住	zhù	3
3670	注	zhù	3
3671	祝	zhù	4
3672	驻	zhù	3
3673	抓	zhuā	3
3674	爪	zhuǎ	1
3675	拽	zhuài	3
3676	专	zhuān	1
3677	砖	zhuān	3
3678	转	zhuǎi	3
3679	撰	zhuàn	6
3680	赚	zhuàn	3
3681	篆	zhuàn	3
3682	桩	zhuāng	4
3683	庄	zhuāng	3
3684	装	zhuāng	4
3685	妆	zhuāng	3
3686	撞	zhuàng	4
3687	壮	zhuàng	3
3688	状	zhuàng	3
3689	椎	zhuī	3
3690	锥	zhuī	3
3691	追	zhuī	3
3692	赘	zhuì	4
3693	坠	zhuì	4
3694	缀	zhuì	6
3695	谆	zhūn	5
3696	准	zhǔn	3
3697	捉	zhuō	3
3698	拙	zhuō	4
3699	卓	zhuó	4
3700	桌	zhuō	4
3701	琢	zhuó	3
3702	茁	zhuó	4
3703	酌	zhuó	3
3704	啄	zhuó	3
3705	着	zhe	3
3706	灼	zhuó	3
3707	浊	zhuó	3
3708	兹	zī	4
3709	咨	zī	4
3710	资	zī	4
3711	姿	zī	4
3712	滋	zī	5
3713	淄	zī	4
3714	孜	zī	3
3715	紫	zǐ	4
3716	仔	zǎi	3
3717	籽	zǐ	3
3718	滓	zǐ	4
3719	子	zi	1
3720	自	zì	3
3721	渍	zì	4
3722	字	zì	3
3723	鬃	zōng	4
3724	棕	zōng	4
3725	踪	zōng	4
3726	宗	zōng	3
3727	综	zōng	4
3728	总	zǒng	4
3729	纵	zòng	4
3730	邹	zōu	4
3731	走	zǒu	3
3732	奏	zòu	3
3733	揍	zòu	4
3734	租	zū	3
3735	足	zú	3
3736	卒	zú	5
3737	族	zú	4
3738	祖	zǔ	3
3739	诅	zǔ	3
3740	阻	zǔ	3
3741	组	zǔ	3
3742	钻	zuān	4
3743	纂	zuǎn	5
3744	嘴	zuǐ	5
3745	醉	zuì	6
3746	最	zuì	4
3747	罪	zuì	3
3748	尊	zūn	4
3749	遵	zūn	5
3750	昨	zuó	3
3751	左	zuǒ	3
3752	佐	zuǒ	4
3753	柞	zuò	3
3754	做	zuò	5
3755	作	zuò	3
3756	坐	zuò	4
3757	座	zuò	5
3758	亍	chù	3
3759	丌	jī	1
3760	兀	wù	1
3761	丐	gài	1
3762	廿	niàn	1
3763	卅	sà	1
3764	丕	pī	3
3765	亘	gèn	4
3766	丞	chéng	3
3767	孬	nāo	4
3768	噩	è	7
3769	禺	yú	3
3770	匕	bǐ	1
3771	乇	tuō	1
3772	夭	yāo	1
3773	爻	yáo	3
3774	卮	zhī	3
3775	氐	dǐ	1
3776	囟	xìn	3
3777	胤	yìn	4
3778	馗	kuí	3
3779	毓	yù	4
3780	睾	gāo	5
3781	鼗	táo	3
3782	亟	jí	6
3783	鼐	nài	3
3784	乜	miē	1
3785	乩	jī	4
3786	亓	qí	3
3787	芈	mǐ	1
3788	孛	bèi	4
3789	啬	sè	5
3790	嘏	gǔ	6
3791	仄	zè	3
3792	厍	shè	3
3793	厝	cuò	4
3794	厣	yǎn	4
3795	厥	jué	5
3796	厮	sī	5
3797	靥	yè	4
3798	赝	yàn	5
3799	叵	pǒ	3
3800	匦	guǐ	4
3801	匮	kuì	4
3802	匾	biǎn	2
3803	赜	zé	4
3804	卦	guà	4
3805	卣	yǒu	4
3806	刈	yì	3
3807	刎	wěn	3
3808	刭	jǐng	4
3809	刳	kū	5
3810	刿	guì	4
3811	剀	kǎi	4
3812	剌	là	3
3813	剞	jī	5
3814	剡	shàn	4
3815	剜	wān	5
3816	蒯	kuǎi	5
3817	剽	piāo	4
3818	劂	jué	6
3819	劁	qiāo	4
3820	劐	huō	5
3821	劓	yì	3
3822	罔	wǎng	4
3823	仃	dīng	3
3824	仉	zhǎng	3
3825	仂	lè	3
3826	仨	sā	5
3827	仡	gē	4
3828	仫	mù	3
3829	仞	rèn	3
3830	伛	yǔ	4
3831	仳	pǐ	3
3832	伢	yá	3
3833	佤	wǎ	3
3834	仵	wǔ	4
3835	伥	chāng	3
3836	伧	cāng	4
3837	伉	kàng	4
3838	伫	zhù	4
3839	佞	nìng	5
3840	佧	kǎ	4
3841	攸	yōu	3
3842	佚	yì	3
3843	佝	gōu	4
3844	佟	tóng	4
3845	佗	tuó	4
3846	伲	nì	4
3847	伽	gā	4
3848	佶	jí	4
3849	佴	èr	3
3850	侑	yòu	2
3851	侉	kuǎ	5
3852	侃	kǎn	4
3853	侏	zhū	3
3854	佾	yì	4
3855	佻	tiāo	3
3856	侪	chái	3
3857	佼	jiǎo	4
3858	侬	nóng	3
3859	侔	móu	4
3860	俦	chóu	3
3861	俨	yǎn	3
3862	俪	lì	5
3863	俅	qíu	3
3864	俚	lǐ	3
3865	俣	yǔ	4
3866	俜	pīng	4
3867	俟	qí	4
3868	俸	fèng	4
3869	倩	qiàn	3
3870	偌	ruò	5
3871	俳	pái	3
3872	倬	zhuō	5
3873	倏	shū	4
3874	倮	luǒ	3
3875	倭	wō	4
3876	俾	bǐ	3
3877	倜	tì	5
3878	倌	guān	4
3879	倥	kōng	4
3880	倨	jù	5
3881	偾	fèn	5
3882	偃	yǎn	5
3883	偕	xié	4
3884	偈	jì	4
3885	偎	wēi	4
3886	偬	zǒng	4
3887	偻	lóu	4
3888	傥	tǎng	5
3889	傧	bīn	5
3890	傩	nuó	4
3891	傺	chì	4
3892	僖	xī	5
3893	儆	jǐng	6
3894	僭	jiàn	5
3895	僬	jiāo	4
3896	僦	jiù	6
3897	僮	tóng	4
3898	儇	xuān	6
3899	儋	dān	6
3900	仝	tóng	3
3901	氽	tǔn	3
3902	佘	shé	3
3903	佥	qiān	3
3904	俎	zǔ	4
3905	龠	yuè	6
3906	汆	cuān	3
3907	籴	dí	3
3908	兮	xī	3
3909	巽	xùn	5
3910	黉	hóng	4
3911	馘	guó	5
3912	冁	chǎn	6
3913	夔	kuí	7
3914	匍	pú	3
3915	訇	hōng	3
3916	匐	fú	5
3917	凫	fú	3
3918	夙	sù	3
3919	兕	sì	3
3920	兖	yǎn	5
3921	亳	bó	5
3922	衮	gǔn	5
3923	袤	mào	4
3924	亵	xiè	4
3925	脔	luán	3
3926	裒	póu	4
3927	禀	bǐng	6
3928	嬴	yíng	6
3929	蠃	luǒ	6
3930	羸	léi	6
3931	冱	hù	3
3932	冽	liè	4
3933	冼	xiǎn	4
3934	凇	sōng	5
3935	冢	zhǒng	3
3936	冥	míng	5
3937	讦	jíe	3
3938	讧	hòng	3
3939	讪	shàn	3
3940	讴	ōu	4
3941	讵	jù	3
3942	讷	nè	3
3943	诂	gǔ	4
3944	诃	hē	4
3945	诋	dǐ	3
3946	诏	zhào	4
3947	诎	qū	4
3948	诒	yí	4
3949	诓	kuāng	4
3950	诔	lěi	3
3951	诖	guà	4
3952	诘	jíe	4
3953	诙	huī	4
3954	诜	shēn	3
3955	诟	gòu	5
3956	诠	quán	4
3957	诤	zhèng	3
3958	诨	hùn	4
3959	诩	xǔ	3
3960	诮	qiào	4
3961	诰	gào	4
3962	诳	kuáng	4
3963	诹	zōu	4
3964	诼	zhuó	3
3965	诿	wěi	4
3966	谀	yú	3
3967	谂	shěn	4
3968	谄	chǎn	4
3969	谇	suì	6
3970	谌	chén	3
3971	谏	jiàn	3
3972	谒	yè	4
3973	谔	è	6
3974	谕	yù	5
3975	谖	xuān	4
3976	谙	ān	3
3977	谛	dì	4
3978	谘	zī	5
3979	谝	piǎn	2
3980	谟	mó	5
3981	谠	dǎng	5
3982	谡	sù	5
3983	谥	shì	5
3984	谧	mì	4
3985	谪	zhé	5
3986	谫	jiǎn	6
3987	谮	zèn	5
3988	谯	qiáo	4
3989	谲	jué	6
3990	谳	yàn	7
3991	谵	zhān	6
3992	谶	chèn	7
3993	卺	jǐn	3
3994	阢	wù	3
3995	阡	qiān	3
3996	阱	jǐng	3
3997	阪	bǎn	4
3998	阽	diàn	4
3999	阼	zuò	3
4000	陂	bēi	3
4001	陉	xíng	4
4002	陔	gāi	3
4003	陟	zhì	3
4004	陧	niè	4
4005	陬	zōu	4
4006	陲	chuí	3
4007	陴	pí	3
4008	隈	wēi	4
4009	隍	huáng	4
4010	隗	kuí	3
4011	隰	xí	6
4012	邗	hán	3
4013	邛	qióng	3
4014	邝	kuàng	3
4015	邙	máng	3
4016	邬	wū	3
4017	邡	fāng	3
4018	邴	bǐng	3
4019	邳	pī	4
4020	邺	yè	3
4021	邸	dǐ	3
4022	邰	tái	4
4023	郏	jiá	3
4024	郅	zhì	3
4025	邾	zhū	3
4026	郐	kuài	5
4027	郄	qiè	5
4028	郓	yùn	4
4029	郦	lì	5
4030	郢	yǐng	4
4031	郜	gào	4
4032	郗	xī	5
4033	郛	fú	4
4034	郫	pí	3
4035	郯	tán	4
4036	郾	yǎn	5
4037	鄄	juàn	4
4038	鄢	yān	5
4039	鄞	yín	3
4040	鄣	zhāng	4
4041	鄱	pó	4
4042	鄯	shàn	5
4043	鄹	zōu	5
4044	酃	líng	6
4045	酆	fēng	7
4046	刍	chú	3
4047	奂	huàn	3
4048	劢	mài	3
4049	劬	qú	4
4050	劾	hé	3
4051	哿	gě	5
4052	勐	měng	4
4053	勖	xù	4
4054	勰	xié	6
4055	叟	sǒu	3
4056	燮	xiè	5
4057	矍	jué	5
4058	凼	dàng	3
4059	鬯	chàng	4
4060	弁	biàn	3
4061	畚	běn	4
4062	巯	qíu	4
4063	坌	bèn	4
4064	垩	è	3
4065	垡	fá	4
4066	塾	shú	6
4067	壅	yōng	5
4068	壑	hè	7
4069	圩	wéi	3
4070	圬	wū	4
4071	圪	gē	4
4072	圳	zhèn	3
4073	圹	kuàng	3
4074	圮	pǐ	3
4075	圯	yí	3
4076	坜	lì	4
4077	圻	qí	3
4078	坂	bǎn	4
4079	坩	gān	3
4080	垅	lǒng	3
4081	坫	diàn	4
4082	垆	lú	4
4083	坼	chè	3
4084	坻	dǐ	3
4085	坨	tuó	4
