index	Char	Pinyin	Bujian
2040	培	péi	4
2041	裴	péi	3
2042	赔	péi	4
2043	陪	péi	4
2044	配	pèi	3
2045	佩	pèi	4
2046	沛	pèi	3
2047	喷	pēn	5
2048	盆	pén	4
2049	砰	pēng	3
2050	抨	pēng	3
2051	烹	pēng	5
2052	澎	pēng	5
2053	彭	péng	4
2054	蓬	péng	6
2055	棚	péng	4
2056	硼	péng	4
2057	篷	péng	6
2058	膨	péng	5
2059	朋	péng	3
2060	鹏	péng	4
2061	捧	pěng	4
2062	碰	pèng	4
2063	坯	pī	4
2064	砒	pī	3
2065	霹	pī	5
2066	批	pī	3
2067	披	pī	3
2068	劈	pī	5
2069	琵	pí	4
2070	毗	pí	3
2071	啤	pí	3
2072	脾	pí	3
2073	疲	pí	3
2074	皮	pí	1
2075	匹	pǐ	3
2076	痞	pǐ	4
2077	僻	pì	5
2078	屁	pì	3
2079	譬	pì	5
2080	篇	piān	2
2081	偏	piān	2
2082	片	piān	1
2083	骗	piàn	2
2084	飘	piāo	4
2085	漂	piāo	4
2086	瓢	piáo	4
2087	票	piào	3
2088	撇	piē	4
2089	瞥	piē	4
2090	拼	pīn	3
2091	频	pín	3
2092	贫	pín	4
2093	品	pǐn	4
2094	聘	pìn	4
2095	乒	pīng	1
2096	坪	píng	3
2097	苹	píng	3
2098	萍	píng	4
2099	平	píng	1
2100	凭	píng	4
2101	瓶	píng	3
2102	评	píng	3
2103	屏	bīng	3
2104	坡	pō	3
2105	泼	pō	3
2106	颇	pō	3
2107	婆	pó	4
2108	破	pò	3
2109	魄	bó	3
2110	迫	pò	3
2111	粕	pò	3
2112	剖	pōu	4
2113	扑	pū	3
2114	铺	pū	3
2115	仆	pū	3
2116	莆	pú	3
2117	葡	pú	4
2118	菩	pú	4
2119	蒲	pú	4
2120	埔	bù	3
2121	朴	pǔ	3
2122	圃	pǔ	4
2123	普	pǔ	4
2124	浦	pǔ	3
2125	谱	pǔ	5
2126	曝	bào	6
2127	瀑	bào	6
2128	期	qī	4
2129	欺	qī	4
2130	栖	qī	3
2131	戚	qī	4
2132	妻	qī	4
2133	七	qī	1
2134	凄	qī	3
2135	漆	qī	5
2136	柒	qī	4
2137	沏	qī	4
2138	其	qí	3
2139	棋	qí	4
2140	奇	qí	4
2141	歧	qí	3
2142	畦	qí	4
2143	崎	qí	5
2144	脐	qí	3
2145	齐	qí	3
2146	旗	qí	5
2147	祈	qí	3
2148	祁	qí	3
2149	骑	qí	5
2150	起	qǐ	3
2151	岂	qǐ	3
2152	乞	qǐ	3
2153	企	qǐ	3
2154	启	qǐ	3
2155	契	qì	4
2156	砌	qì	4
2157	器	qì	6
2158	气	qì	4
2159	迄	qì	5
2160	弃	qì	3
2161	汽	qì	5
2162	泣	qì	3
2163	讫	qì	4
2164	掐	qiā	4
2165	恰	qià	5
2166	洽	qià	5
2167	牵	qiān	4
2168	扦	qiān	3
2169	钎	qiān	3
2170	铅	qiān	4
2171	千	qiān	1
2172	迁	qiān	3
2173	签	qiān	4
2174	仟	qiān	3
2175	谦	qiān	3
2176	乾	qián	4
2177	黔	qián	3
2178	钱	qián	3
2179	钳	qián	3
2180	前	qián	4
2181	潜	qián	5
2182	遣	qiǎn	5
2183	浅	qiǎn	3
2184	谴	qiǎn	6
2185	堑	qiàn	4
2186	嵌	kàn	4
2187	欠	qiàn	3
2188	歉	qiàn	3
2189	枪	qiāng	4
2190	呛	qiāng	4
2191	腔	qiāng	4
2192	羌	qiāng	3
2193	墙	qiáng	6
2194	蔷	qiáng	6
2195	强	qiáng	4
2196	抢	qiǎng	4
2197	橇	qiāo	5
2198	锹	qiāo	4
2199	敲	qiāo	3
2200	悄	qiāo	4
2201	桥	qiáo	4
2202	瞧	qiáo	4
2203	乔	qiáo	3
2204	侨	qiáo	4
2205	巧	qiǎo	3
2206	鞘	qiào	4
2207	撬	qiào	5
2208	翘	qiáo	4
2209	峭	qiào	4
2210	俏	qiào	4
2211	窍	qiào	4
2212	切	qiē	3
2213	茄	jiā	4
2214	且	jū	1
2215	怯	qiè	3
2216	窃	qiè	4
2217	钦	qīn	3
2218	侵	qīn	5
2219	亲	qīn	3
2220	秦	qín	3
2221	琴	qín	4
2222	勤	qín	3
2223	芹	qín	3
2224	擒	qín	7
2225	禽	qín	6
2226	寝	qǐn	6
2227	沁	qìn	3
2228	青	qīng	3
2229	轻	qīng	4
2230	氢	qīng	4
2231	倾	qīng	4
2232	卿	qīng	4
2233	清	qīng	3
2234	擎	qíng	6
2235	晴	qíng	3
2236	氰	qíng	3
2237	情	qíng	3
2238	顷	qǐng	3
2239	请	qǐng	3
2240	庆	qìng	3
2241	琼	qióng	5
2242	穷	qióng	3
2243	秋	qiū	3
2244	丘	qiū	1
2245	邱	qiū	3
2246	球	qíu	3
2247	求	qíu	1
2248	囚	qíu	4
2249	酋	qíu	3
2250	泅	qíu	5
2251	趋	qū	4
2252	区	qū	3
2253	蛆	qū	3
2254	曲	qū	1
2255	躯	qū	4
2256	屈	qū	4
2257	驱	qū	4
2258	渠	qú	4
2259	取	qǔ	3
2260	娶	qǔ	4
2261	龋	qǔ	3
2262	趣	qù	4
2263	去	qù	3
2264	圈	quān	5
2265	颧	quán	6
2266	权	quán	3
2267	醛	quán	5
2268	泉	quán	3
2269	全	quán	3
2270	痊	quán	4
2271	拳	quán	3
2272	犬	quǎn	1
2273	券	quàn	3
2274	劝	quàn	3
2275	缺	quē	3
2276	炔	quē	3
2277	瘸	qué	5
2278	却	què	3
2279	鹊	què	4
2280	榷	què	3
2281	确	què	3
2282	雀	què	3
2283	裙	qún	4
2284	群	qún	4
2285	然	rán	4
2286	燃	rán	5
2287	冉	rǎn	1
2288	染	rǎn	4
2289	瓤	ráng	7
2290	壤	rǎng	7
2291	攘	rǎng	7
2292	嚷	rǎng	7
2293	让	ràng	3
2294	饶	ráo	4
2295	扰	rǎo	3
2296	绕	rào	4
2297	惹	rě	5
2298	热	rè	4
2299	壬	rén	1
2300	仁	rén	4
2301	人	rén	1
2302	忍	rěn	3
2303	韧	rèn	3
2304	任	rèn	3
2305	认	rèn	3
2306	刃	rèn	1
2307	妊	rèn	3
2308	纫	rèn	3
2309	扔	rēng	3
2310	仍	réng	3
2311	日	rì	1
2312	戎	róng	3
2313	茸	róng	3
2314	蓉	róng	4
2315	荣	róng	3
2316	融	róng	3
2317	熔	róng	4
2318	溶	róng	4
2319	容	róng	3
2320	绒	róng	4
2321	冗	rǒng	3
2322	揉	róu	4
2323	柔	róu	3
2324	肉	ròu	3
2325	茹	rú	4
2326	蠕	rú	4
2327	儒	rú	4
2328	孺	rú	4
2329	如	rú	3
2330	辱	rǔ	3
2331	乳	rǔ	4
2332	汝	rǔ	3
2333	入	rù	1
2334	褥	rù	4
2335	软	ruǎn	3
2336	阮	ruǎn	4
2337	蕊	ruǐ	5
2338	瑞	ruì	4
2339	锐	ruì	5
2340	闰	rùn	3
2341	润	rùn	4
2342	若	ruò	4
2343	弱	ruò	5
2344	撒	sā	5
2345	洒	sǎ	3
2346	萨	sà	4
2347	腮	sāi	4
2348	鳃	sāi	4
2349	塞	sāi	5
2350	赛	sài	5
2351	三	sān	4
2352	叁	sān	6
2353	伞	sǎn	4
2354	散	sǎn	4
2355	桑	sāng	5
2356	嗓	sǎng	6
2357	丧	sāng	4
2358	搔	sāo	4
2359	骚	sāo	4
2360	扫	sǎo	3
2361	嫂	sǎo	4
2362	瑟	sè	4
2363	色	sè	3
2364	涩	sè	4
2365	森	sēn	4
2366	僧	sēng	7
2367	莎	shā	4
2368	砂	shā	3
2369	杀	shā	3
2370	刹	chà	4
2371	沙	shā	3
2372	纱	shā	3
2373	傻	shǎ	7
2374	啥	shá	5
2375	煞	shā	5
2376	筛	shāi	4
2377	晒	shài	3
2378	珊	shān	3
2379	苫	shān	4
2380	杉	shā	3
2381	山	shān	1
2382	删	shān	3
2383	煽	shān	3
2384	衫	shān	3
2385	闪	shǎn	3
2386	陕	shǎn	3
2387	擅	shàn	8
2388	赡	shàn	6
2389	膳	shàn	5
2390	善	shàn	4
2391	汕	shàn	3
2392	扇	shān	3
2393	缮	shàn	5
2394	墒	shāng	5
2395	伤	shāng	4
2396	商	shāng	4
2397	赏	shǎng	4
2398	晌	shǎng	4
2399	上	shàng	3
2400	尚	shàng	4
2401	裳	cháng	4
2402	梢	sào	4
2403	捎	shāo	4
2404	稍	shāo	4
2405	烧	shāo	4
2406	芍	sháo	3
2407	勺	sháo	1
2408	韶	sháo	4
2409	少	shǎo	3
2410	哨	shào	4
2411	邵	shào	4
2412	绍	shào	4
2413	奢	shē	4
2414	赊	shē	4
2415	蛇	shé	4
2416	舌	shé	3
2417	舍	shě	4
2418	赦	shè	3
2419	摄	shè	5
2420	射	shè	3
2421	慑	shè	5
2422	涉	shè	3
2423	社	shè	3
2424	设	shè	3
2425	砷	shēn	3
2426	申	shēn	1
2427	呻	shēn	3
2428	伸	shēn	3
2429	身	shēn	1
2430	深	shēn	5
2431	娠	shēn	3
2432	绅	shēn	3
2433	神	shén	3
2434	沈	chén	3
2435	审	shěn	3
2436	婶	shěn	4
2437	甚	shèn	1
2438	肾	shèn	4
2439	慎	shèn	5
2440	渗	shèn	5
2441	声	shēng	3
2442	生	shēng	1
2443	甥	shēng	3
2444	牲	shēng	3
2445	升	shēng	1
2446	绳	shéng	3
2447	省	shěng	3
2448	盛	chéng	3
2449	剩	shèng	5
2450	胜	shèng	3
2451	圣	shèng	3
2452	师	shī	3
2453	失	shī	1
2454	狮	shī	4
2455	施	shī	4
2456	湿	shī	4
2457	诗	shī	4
2458	尸	shī	1
2459	虱	shī	3
2460	十	shí	1
2461	石	shí	1
2462	拾	shí	5
2463	时	shí	3
2464	什	shén	3
2465	食	shí	3
2466	蚀	shí	3
2467	实	shí	4
2468	识	shí	4
2469	史	shǐ	1
2470	矢	shǐ	3
2471	使	shǐ	3
2472	屎	shǐ	3
2473	驶	shǐ	3
2474	始	shǐ	4
2475	式	shì	3
2476	示	shí	4
2477	士	shì	1
2478	世	shì	1
2479	柿	shì	4
2480	事	shì	4
2481	拭	shì	4
2482	誓	shì	4
2483	逝	shì	5
2484	势	shì	4
2485	是	shì	3
2486	嗜	shì	4
2487	噬	shì	7
2488	适	shì	3
2489	仕	shì	3
2490	侍	shì	4
2491	释	shì	4
2492	饰	shì	4
2493	氏	shì	1
2494	市	shì	3
2495	恃	shì	4
2496	室	shì	3
2497	视	shì	3
2498	试	shì	4
2499	收	shōu	3
2500	手	shǒu	1
2501	首	shǒu	3
2502	守	shǒu	3
2503	寿	shòu	3
2504	授	shòu	5
2505	售	shòu	3
2506	受	shòu	4
2507	瘦	shòu	4
2508	兽	shòu	5
2509	蔬	shū	4
2510	枢	shū	4
2511	梳	shū	3
2512	殊	shū	3
2513	抒	shū	3
2514	输	shū	5
2515	叔	shū	4
2516	舒	shū	5
2517	淑	shū	5
2518	疏	shū	3
2519	书	shū	1
2520	赎	shú	4
2521	孰	shú	5
2522	熟	shóu	6
