Word	index	level	score
弄	a#弄揉	1.0	1
摆弄	a#弄揉	3.0	1
拨弄	a#弄揉	3.0	1
揉	a#弄揉	3.0	1
团	a#弄揉	3.0	1
指	b#指点	1.0	1
点	b#指点	1.0	1
比画	b#指点	2.0	1
指点	b#指点	3.0	1
指手画脚	b#指点	3.0	1
倒	c#翻摆抖挥招扭	1.0	1
翻	c#翻摆抖挥招扭	2.0	1
翻箱倒柜	c#翻摆抖挥招扭	3.0	1
摇	c#翻摆抖挥招扭	1.0	1
摆	c#翻摆抖挥招扭	1.0	1
扇	c#翻摆抖挥招扭	1.0	1
摆动	c#翻摆抖挥招扭	1.0	1
抖	c#翻摆抖挥招扭	2.0	1
甩	c#翻摆抖挥招扭	2.0	1
抖动	c#翻摆抖挥招扭	2.0	1
挥	c#翻摆抖挥招扭	2.0	1
挥舞	c#翻摆抖挥招扭	2.0	1
舞动	c#翻摆抖挥招扭	2.0	1
招	c#翻摆抖挥招扭	2.0	1
招手	c#翻摆抖挥招扭	2.0	1
扭	c#翻摆抖挥招扭	2.0	1
扭动	c#翻摆抖挥招扭	2.0	1
耸肩	c#翻摆抖挥招扭	3.0	1
搬	d#搬	1.0	1
移	d#搬	2.0	1
挪	d#搬	3.0	1
挪移	d#搬	4.0	1
搅	e#搅	3.0	1
拌	e#搅	3.0	1
搅拌	e#搅	3.0	1
洗	a#洗刷	1.0	1
漂	a#洗刷	2.0	1
漂洗	a#洗刷	2.0	1
清洗	a#洗刷	2.0	1
漱	a#洗刷	4.0	1
洗漱	a#洗刷	4.0	1
刷牙	a#洗刷	1.0	1
洗澡	a#洗刷	1.0	1
沐浴	a#洗刷	4.0	1
刷	a#洗刷	1.0	1
冲	a#洗刷	1.0	1
冲刷	a#洗刷	3.0	1
擦	b#擦扫	1.0	1
抹	b#擦扫	2.0	1
措	b#擦扫	4.0	1
拂拭	b#擦扫	4.0	1
扫	b#擦扫	1.0	1
打扫	b#擦扫	1.0	1
清扫	b#擦扫	2.0	1
扫除	b#擦扫	2.0	1
浇	c#浇洒灌	2.0	1
淋	c#浇洒灌	2.0	1
洒	c#浇洒灌	1.0	1
泼	c#浇洒灌	2.0	1
洒落	c#浇洒灌	2.0	1
灌	c#浇洒灌	3.0	1
泡	d#泡斟	2.0	1
倒	d#泡斟	1.0	1
斟	d#泡斟	4.0	1
滤	e#滤淘	3.0	1
过滤	e#滤淘	3.0	1
淘	e#滤淘	2.0	1
捞	f#捞掏	3.0	1
打捞	f#捞掏	3.0	1
掏	f#捞掏	2.0	1
撤	f#捞掏	3.0	1
舀	f#捞掏	4.0	1
切	a#切划	2.0	1
片	a#切划	3.0	1
划	a#切划	1.0	1
破	a#切划	2.0	1
锯	a#切划	3.0	1
削	b#削刮	2.0	1
铲	b#削刮	3.0	1
刮	b#削刮	2.0	1
刨	b#削刮	4.0	1
裁	c#剪修	2.0	1
剪	c#剪修	2.0	1
理	c#剪修	2.0	1
修	c#剪修	2.0	1
修剪	c#剪修	2.0	1
修理.	c#剪修	2.0	1
剃	c#剪修	4.0	1
砍	d#砍	2.0	1
斩	d#砍	3.0	1
砍伐	d#砍	3.0	1
采伐	d#砍	3.0	1
挖	e#挖抠	1.0	1
掏	e#挖抠	2.0	1
钻	e#挖抠	2.0	1
出土	e#挖抠	3.0	1
发掘	e#挖抠	3.0	1
挖掘	e#挖抠	3.0	1
抠	e#挖抠	4.0	1
刨	e#挖抠	4.0	1
开凿	e#挖抠	4.0	1
刺	f#刺戳	2.0	1
挑	f#刺戳	2.0	1
扎	f#刺戳	2.0	1
插	f#刺戳	3.0	1
戳	f#刺戳	4.0	1
戳穿	f#刺戳	4.0	1
步	a#走	1.0	1
走	a#走	1.0	1
步行	a#走	2.0	1
前行	a#走	2.0	1
行动	a#走	2.0	1
行走	a#走	2.0	1
走动	a#走	2.0	1
徒步	a#走	3.0	1
行进	a#走	3.0	1
驻足	a#走	4.0	1
大摇大摆	a#走	2.0	1
健步如飞	a#走	3.0	1
大步流星	a#走	4.0	1
散步	a#走	1.0	1
漫步	a#走	3.0	1
徜徉	a#走	4.0	1
信马由缰	a#走	4.0	1
踉跄	a#走	4.0	1
趔趄	a#走	4.0	1
蹒跚	a#走	4.0	1
磕磕绊绊	a#走	4.0	1
轻手轻脚	a#走	2.0	1
徘徊	a#走	4.0	1
跑	b#跑	1.0	1
跑步	b#跑	1.0	1
奔	b#跑	2.0	1
奔跑	b#跑	2.0	1
飞跑	b#跑	2.0	1
飞奔	b#跑	3.0	1
狂奔	b#跑	3.0	1
奔驰	b#跑	3.0	1
奔腾	b#跑	3.0	1
飞驰	b#跑	3.0	1
疾驰	b#跑	3.0	1
驰骋	b#跑	4.0	1
纵横	b#跑	4.0	1
跳	a#踢踩跺	1.0	1
跳跃	a#踢踩跺	2.0	1
蹦	a#踢踩跺	3.0	1
飞跃	a#踢踩跺	3.0	1
撒欢儿	a#踢踩跺	3.0	1
跨	b#跨	2.0	1
迈	b#跨	2.0	1
翻	b#跨	2.0	1
翻越	b#跨	2.0	1
踢	a#踢踩跺	1.0	1
踩	a#踢踩跺	1.0	1
踏	a#踢踩跺	2.0	1
蹬	a#踢踩跺	4.0	1
践踏	a#踢踩跺	4.0	1
跺	a#踢踩跺	4.0	1
坐	a#坐	1.0	1
席地而坐	a#坐	3.0	1
盘腿	a#坐	3.0	1
骑	a#坐	1.0	1
蹲	b#蹲	2.0	1
立	c#立	1.0	1
站	c#立	1.0	1
立正	c#立	1.0	1
站立	c#立	2.0	1
直立	c#立	3.0	1
肃立	c#立	4.0	1
伫立	c#立	4.0	1
生活	a#营生	1.0	1
过日子	a#营生	1.0	1
安身立命	a#营生	4.0	1
创业	a#营生	3.0	1
谋生	a#营生	3.0	1
住	b#居住	1.0	1
居住	b#居住	2.0	1
过夜	b#居住	2.0	1
住宿	b#居住	2.0	1
安家	b#居住	2.0	1
安家落户	b#居住	2.0	1
定居	b#居住	3.0	1
足不出户	b#居住	2.0	1
隐居	b#居住	3.0	1
蛰伏	b#居住	4.0	1
深居简出	b#居住	4.0	1
离群索居	b#居住	4.0	1
避暑	b#居住	3.0	1
赋闲	b#居住	4.0	1
野营	b#居住	2.0	1
露宿	b#居住	4.0	1
停	b#居住	1.0	1
留	b#居住	2.0	1
停留	b#居住	2.0	1
逗留	b#居住	3.0	1
两栖	b#居住	3.0	1
落脚	b#居住	3.0	1
栖息	b#居住	3.0	1
滞留	b#居住	4.0	1
过	c#涉世	1.0	1
度	c#涉世	2.0	1
度过	c#涉世	2.0	1
欢度	c#涉世	2.0	1
打发	c#涉世	2.0	1
熬	c#涉世	3.0	1
消磨	c#涉世	4.0	1
经历	c#涉世	2.0	1
历尽	c#涉世	3.0	1
历经	c#涉世	3.0	1
身临其境	c#涉世	3.0	1
感同身受	c#涉世	4.0	1
过年	c#涉世	1.0	1
过冬	c#涉世	1.0	1
当家	c#涉世	2.0	1
独立	c#涉世	2.0	1
自立	c#涉世	2.0	1
自助	c#涉世	2.0	1
自力更生	c#涉世	2.0	1
自理	c#涉世	3.0	1
自主	c#涉世	3.0	1
自给自足	c#涉世	3.0	1
自食其力	c#涉世	3.0	1
跑	c#涉世	3.0	1
奔波	c#涉世	3.0	1
奔走	c#涉世	3.0	1
走南闯北	c#涉世	2.0	1
走街串巷	c#涉世	3.0	1
累	c#涉世	1.0	1
操劳	c#涉世	3.0	1
加油	c#涉世	1.0	1
用力	c#涉世	1.0	1
拼	c#涉世	2.0	1
尽力	c#涉世	2.0	1
拼搏	c#涉世	2.0	1
使劲	c#涉世	2.0	1
力所能及	c#涉世	2.0	1
闻鸡起舞	c#涉世	2.0	1
奋斗	c#涉世	3.0	1
致力	c#涉世	3.0	1
着力	c#涉世	3.0	1
奋起直追	c#涉世	3.0	1
竭尽全力	c#涉世	3.0	1
埋头苦干	c#涉世	3.0	1
全力以赴	c#涉世	3.0	1
自强不息	c#涉世	3.0	1
不遗余力	c#涉世	4.0	1
力挽狂澜	c#涉世	4.0	1
励精图治	c#涉世	4.0	1
荒	c#涉世	3.0	1
荒废	c#涉世	3.0	1
抽空	c#涉世	2.0	1
忙里偷闲	c#涉世	3.0	1
没事	c#涉世	2.0	1
无所事事	c#涉世	4.0	1
偷懒	c#涉世	2.0	1
人浮于事	c#涉世	4.0	1
人云亦云	c#涉世	3.0	1
随波逐流	c#涉世	4.0	1
依附	c#涉世	3.0	1
投奔	c#涉世	4.0	1
寄人篱下	c#涉世	4.0	1
任人宰割	c#涉世	3.0	1
继承	d#继承	2.0	1
迁	e#迁徙	2.0	1
移居	e#迁徙	2.0	1
搬迁	e#迁徙	3.0	1
拆迁	e#迁徙	3.0	1
迁移	e#迁徙	3.0	1
移民	e#迁徙	3.0	1
迁徙	e#迁徙	4.0	1
流浪	e#迁徙	2.0	1
逃亡	e#迁徙	2.0	1
无家可归	e#迁徙	2.0	1
流落	e#迁徙	3.0	1
乞讨	e#迁徙	3.0	1
漂泊	e#迁徙	4.0	1
飘零	e#迁徙	4.0	1
颠沛流离	e#迁徙	4.0	1
流离失所	e#迁徙	4.0	1
睡	a#就寝	1.0	1
睡觉	a#就寝	1.0	1
就寝	a#就寝	4.0	1
起	b#起床	1.0	1
起床	b#起床	1.0	1
起来	b#起床	1.0	1
起身	b#起床	2.0	1
休息	c#休息	1.0	1
歇	c#休息	2.0	1
喘气	c#休息	2.0	1
歇脚	c#休息	3.0	1
喘息	c#休息	4.0	1
小憩	c#休息	4.0	1
歇息	c#休息	4.0	1
休憩	c#休息	4.0	1
乘凉	c#休息	2.0	1
凉快	c#休息	2.0	1
纳凉	c#休息	3.0	1
养	d#疗养	1.0	1
养病	d#疗养	2.0	1
疗养	d#疗养	3.0	1
